LoRa Sender
The values inside the EEPROM are : 
0 32 15 42 36 59 72 
1 32 21 34 44 79 70 
2 33 20 48 43 79 70 
3 33 20 36 44 79 70 
4 32 21 33 43 79 70 
5 32 21 39 44 79 70 
6 32 21 43 42 79 70 
7 33 20 46 43 79 70 
8 33 20 33 42 79 70 
9 33 20 38 43 79 70 
10 33 20 37 42 79 71 
11 33 20 44 42 79 71 
12 33 20 39 43 79 71 
13 33 20 37 41 79 71 
14 33 20 34 43 79 71 
15 33 20 40 41 79 71 
16 33 20 41 42 79 71 
17 33 20 35 43 79 71 
18 33 20 39 40 79 72 
19 33 20 42 42 79 71 
20 33 20 34 41 79 72 
21 33 20 43 42 79 71 
22 33 20 45 43 79 71 
23 33 20 42 40 79 72 
24 33 20 34 41 79 72 
25 33 20 37 41 79 72 
26 33 20 34 42 80 72 
27 33 20 42 43 80 72 
28 33 20 34 43 80 72 
29 33 20 36 42 80 72 
30 33 20 32 41 80 72 
31 33 20 34 42 80 72 
32 33 20 35 42 80 72 
33 33 20 36 42 79 72 
34 33 20 34 42 79 72 
35 33 20 36 41 79 72 
36 33 20 40 41 79 72 
37 33 20 33 42 79 72 
38 33 20 38 41 79 72 
39 33 20 34 42 79 72 
40 33 20 32 41 79 72 
41 33 20 32 41 79 72 
42 33 20 35 40 78 72 
43 33 20 32 41 78 72 
44 33 20 44 42 78 72 
45 33 20 32 41 78 73 
46 33 20 34 40 78 72 
47 33 20 48 40 78 73 
48 33 20 33 41 78 72 
49 33 20 32 40 78 72 
50 33 20 33 41 78 72 
51 33 20 42 42 78 72 
52 33 20 33 40 77 72 
53 33 20 40 41 77 72 
54 33 20 46 40 77 72 
55 33 19 43 41 77 72 
56 33 19 35 42 77 73 
57 33 19 32 40 77 72 
58 33 19 32 41 77 72 
59 33 19 43 40 77 72 
60 33 18 49 40 77 73 
61 33 18 35 41 76 72 
62 33 18 34 40 76 73 
63 33 18 42 42 76 72 
64 33 18 36 40 76 73 
65 33 18 33 40 76 72 
66 33 18 34 39 76 72 
67 33 18 41 40 76 72 
68 33 18 34 41 76 73 
69 33 17 34 39 75 72 
70 33 17 49 40 75 72 
71 33 17 40 39 75 72 
72 33 17 33 39 75 72 
73 33 17 34 41 75 72 
74 33 17 35 39 75 72 
75 33 17 42 40 75 73 
76 33 17 46 39 75 72 
77 33 17 43 40 75 73 
78 33 17 32 39 75 73 
79 33 17 42 40 74 72 
80 33 17 43 39 74 73 
81 33 17 34 39 74 73 
82 33 17 36 39 74 72 
83 33 17 36 39 74 72 
84 33 17 42 38 74 73 
85 33 16 34 40 74 72 
86 33 17 35 40 74 72 
87 33 16 43 40 74 72 
88 33 16 43 39 74 72 
89 33 16 32 40 74 72 
90 33 16 40 39 74 72 
91 33 16 36 39 73 73 
92 33 16 32 39 73 72 
93 33 16 32 40 73 73 
94 33 16 34 39 73 72 
95 33 16 40 38 73 72 
96 33 16 32 38 73 72 
97 33 16 32 40 73 72 
98 33 16 35 38 72 72 
99 33 16 42 39 72 72 
100 33 16 43 39 72 72 
101 33 15 41 39 72 73 
102 33 16 34 39 72 72 
103 33 15 42 38 72 73 
104 33 15 37 39 72 72 
105 33 15 39 39 72 73 
106 33 15 39 39 72 72 
107 33 15 42 38 72 72 
108 33 14 41 38 72 72 
109 33 14 42 38 72 73 
110 33 14 45 38 71 73 
111 33 14 36 38 71 73 
112 33 14 42 38 71 73 
113 33 14 46 38 71 73 
114 33 14 43 38 71 73 
115 33 14 34 39 71 73 
116 33 14 38 38 71 72 
117 33 14 39 38 71 72 
118 33 14 37 38 71 72 
119 33 14 44 38 71 73 
120 33 14 36 38 71 72 
121 33 14 43 37 71 73 
122 33 14 35 38 71 72 
123 33 14 32 38 70 73 
124 33 14 42 37 70 73 
125 33 14 40 38 70 73 
126 33 14 33 38 70 72 
127 33 14 45 40 70 73 
128 33 14 32 38 70 73 
129 33 14 40 38 70 73 
130 33 14 46 40 70 72 
131 33 14 37 38 70 73 
132 33 14 40 38 70 72 
133 33 14 35 39 70 73 
134 33 14 43 38 70 73 
135 33 14 34 38 70 73 
136 33 14 37 37 70 72 
137 33 14 42 38 69 73 
138 33 14 45 38 69 72 
139 33 14 33 39 69 73 
140 33 14 33 38 69 73 
141 33 14 33 38 69 73 
142 33 14 42 37 69 73 
143 33 14 35 38 69 72 
144 33 14 36 38 69 73 
145 33 14 36 37 69 72 
