LoRa Sender
The values inside the EEPROM are : 
21 37 51 173 73 100 71 
1 30 22 27 54 100 71 
2 30 22 28 53 100 71 3 30 22 37 53 100 71 4 30 22 29 53 100 72 5 30 22 28 53 100 72 6 30 22 50 53 100 72 7 30 22 30 52 100 72 8 30 22 27 53 100 72 9 30 22 29 53 100 72 10 30 22 39 53 100 72 11 30 22 47 52 100 72 12 30 22 46 53 100 72 13 30 22 27 53 100 72 14 30 22 39 52 100 72 15 30 22 29 53 100 72 16 30 22 33 53 100 72 17 30 22 42 53 100 72 18 30 22 50 52 100 72 19 30 22 31 52 100 72 20 30 22 29 52 100 72 21 30 22 35 53 100 72 22 30 22 34 52 100 72 23 30 22 31 52 100 72 24 30 22 28 51 100 72 25 30 22 37 51 100 72 26 30 22 34 52 100 72 27 30 22 27 50 100 72 28 30 22 29 51 100 72 29 30 22 50 51 100 72 30 30 22 35 51 100 72 31 30 22 47 51 100 72 32 30 22 45 51 100 72 33 30 22 30 51 100 72 34 30 22 28 50 100 72 35 30 22 30 51 100 72 36 30 22 45 51 100 73 37 30 22 32 50 100 72 38 30 22 29 51 100 73 39 30 22 33 52 100 73 40 30 22 29 51 100 72 41 30 22 30 51 100 73 42 30 22 33 51 100 73 43 30 22 29 50 100 72 44 30 22 32 50 100 73 45 30 22 42 50 100 73 46 30 22 27 50 100 72 47 30 22 37 50 100 72 48 30 22 34 51 100 72 49 30 22 36 51 174 72 50 30 22 43 50 154 73 51 30 22 28 51 125 73 52 30 22 31 51 113 73 53 30 22 28 52 122 72 54 30 22 43 50 103 73 55 30 22 51 50 106 73 56 30 22 27 50 104 73 57 30 22 33 50 105 73 58 30 22 28 50 104 72 59 30 22 28 50 103 73 60 30 22 28 49 129 73 61 30 22 36 50 133 73 62 30 22 28 51 103 73 63 30 22 34 50 105 73 64 30 22 36 50 105 73 65 30 22 37 51 105 73 66 30 22 32 51 110 73 67 30 22 28 50 105 73 68 30 22 30 50 161 73 69 30 22 29 50 114 73 70 30 22 30 51 103 73 71 30 22 28 50 172 73 72 30 22 37 50 156 73 73 30 22 29 50 201 73 74 30 22 33 50 203 73 75 30 22 29 51 204 73 76 30 22 30 51 204 73 77 30 22 37 49 102 73 78 30 22 30 50 102 73 79 30 22 32 50 102 73 80 30 22 43 50 142 73 81 30 22 34 50 101 73 82 30 22 34 51 101 72 83 30 22 42 50 101 73 84 30 22 33 50 101 73 85 30 22 30 50 101 73 86 30 22 28 50 101 73 87 30 22 37 50 101 73 88 30 22 35 51 101 73 89 30 22 49 49 101 73 90 30 22 34 49 101 73 91 30 22 36 50 101 73 92 30 22 31 50 185 73 93 30 22 45 50 202 73 94 30 22 30 50 198 73 95 30 22 45 50 141 73 96 30 22 42 50 164 73 97 30 22 36 50 179 73 98 30 22 37 50 191 73 99 30 22 42 50 189 73 100 30 22 37 50 154 73 101 30 22 41 51 158 73 102 31 21 39 50 190 73 103 31 21 32 50 154 73 104 31 21 30 50 155 73 105 31 21 38 50 159 73 106 31 21 29 50 156 73 107 31 21 35 50 154 73 108 31 21 34 50 152 73 109 31 21 29 50 160 73 110 31 21 42 50 158 73 111 31 21 50 50 164 73 112 31 21 36 51 162 73 113 31 21 28 50 155 73 114 31 21 40 50 163 73 115 31 21 33 50 172 73 116 31 21 28 50 171 73 117 31 21 30 50 177 73 118 31 21 39 50 178 73 119 31 21 33 50 175 73 120 31 21 31 50 181 73 121 31 21 36 50 178 73 122 31 21 45 50 178 73 123 31 21 45 50 174 73 124 31 21 30 50 174 73 125 31 21 34 50 174 73 126 31 21 47 50 176 73 127 31 21 40 50 177 73 128 31 21 38 50 178 73 129 31 21 49 50 171 73 130 31 21 33 51 168 73 131 31 21 35 50 172 73 132 31 21 43 50 175 73 133 31 21 40 51 175 73 
134 31 21 38 50 177 73 
135 31 21 46 50 178 73 
136 31 21 31 50 172 73 
137 31 21 29 50 168 73 
138 31 21 29 50 166 73 
139 31 21 35 50 166 73 
140 31 21 29 50 164 73 
141 31 21 31 50 168 73 
142 31 21 41 50 171 73 
143 31 21 43 50 170 73 
144 31 21 29 50 174 73 
145 31 21 35 51 174 73 
