LoRa Sender
The values inside the EEPROM are : 
0 31 21 34 13 85 88 
1 31 21 45 13 85 88 
2 31 21 34 12 85 87 
3 31 21 39 13 85 87 
4 31 21 50 12 85 88 
5 31 21 27 12 85 88 
6 31 21 35 12 85 87 
7 31 21 35 13 85 88 
8 31 21 35 13 85 88 
9 31 21 48 12 97 87 
10 31 21 35 12 86 87 
11 31 21 37 12 86 87 
12 31 21 42 12 86 88 
13 31 21 35 12 86 88 
14 31 21 28 12 86 88 
15 31 21 30 12 86 87 
16 31 21 28 12 86 88 
17 31 21 29 12 86 87 
18 31 21 31 12 86 88 
19 31 21 35 12 86 88 
20 31 21 27 12 86 88 
21 31 21 52 12 100 88 
22 31 21 34 12 102 87 
23 31 21 27 12 87 87 
24 31 21 27 12 85 87 
25 31 21 31 12 85 87 
26 31 21 34 12 85 87 
27 31 21 49 12 85 87 
28 31 21 29 12 85 87 
29 31 21 31 12 85 87 
30 31 21 38 12 85 87 
31 31 21 27 12 85 88 
32 31 21 48 12 85 87 
33 31 21 26 12 85 88 
34 31 21 34 12 85 88 
35 31 21 26 12 85 87 
36 31 21 43 12 85 87 
37 31 21 28 12 85 87 
38 31 21 27 12 85 88 
39 31 21 29 12 85 88 
40 31 21 31 12 85 87 
41 31 21 31 12 85 88 
42 31 21 30 12 85 88 
43 31 21 27 12 85 88 
44 31 21 27 12 85 88 
45 31 21 27 12 85 87 
46 31 21 33 12 85 88 47 31 21 26 12 85 88 48 31 21 44 12 85 88 49 31 21 34 12 85 88 50 31 21 31 12 85 88 51 31 21 27 12 85 88 52 31 21 35 12 85 87 53 31 21 46 12 86 88 54 31 21 26 12 86 87 55 31 21 35 12 87 87 56 31 21 30 12 87 88 57 31 21 28 12 90 87 58 31 21 31 12 89 87 59 31 21 27 12 88 88 60 31 21 28 12 89 87 61 31 21 29 12 85 88 62 31 21 36 12 85 87 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  
