LoRa Sender
The values inside the EEPROM are : 
23 31 48 202 63 202 63 
1 28 23 25 50 202 63 
2 28 23 26 51 202 63 
3 28 23 26 51 202 63 
4 28 23 46 51 202 63 
5 28 23 32 49 202 64 
6 28 23 27 49 202 64 
7 28 23 32 50 202 64 8 28 23 38 49 202 64 9 28 23 25 51 202 64 10 28 23 25 49 202 64 11 28 23 39 49 202 64 12 28 23 25 49 202 64 13 28 23 28 49 202 64 14 28 23 40 49 202 64 15 28 23 33 49 202 63 16 28 23 30 49 202 64 17 28 23 41 49 202 64 18 28 23 25 51 202 64 19 28 23 26 49 202 63 20 28 23 27 49 202 63 21 28 23 30 51 202 63 22 28 23 45 49 202 63 23 28 23 32 50 202 64 24 28 23 25 49 202 63 25 28 23 28 49 202 64 26 28 23 29 49 202 63 27 28 23 31 49 202 64 28 28 23 32 49 202 63 29 28 23 26 49 202 63 30 28 23 32 50 202 63 31 28 23 25 49 202 63 32 28 23 34 49 202 64 33 28 23 41 49 202 64 34 28 23 29 49 202 63 35 28 23 40 49 202 63 36 28 23 31 49 202 63 37 28 23 31 50 202 63 38 28 23 29 49 202 63 39 28 23 25 49 202 63 40 28 23 30 49 202 63 41 28 23 39 49 202 63 42 28 23 27 49 202 63 43 28 23 32 49 202 63 44 28 23 25 48 202 63 45 28 23 30 49 202 63 46 28 23 31 48 202 63 47 28 23 25 48 202 63 48 28 23 26 49 202 63 49 28 23 24 49 202 63 50 28 23 25 49 202 63 51 28 23 26 49 202 63 52 28 23 31 48 202 63 53 28 23 44 49 202 63 54 28 23 29 49 202 63 55 28 23 33 49 202 63 56 28 23 45 48 202 63 57 28 23 26 49 202 63 58 28 23 28 50 202 63 59 28 23 29 49 202 63 60 28 23 27 50 201 63 61 28 23 33 49 201 63 62 28 23 33 48 201 63 63 28 23 28 48 201 63 64 28 23 33 50 201 63 65 28 23 25 49 201 63 66 28 23 33 49 201 63 67 28 23 42 48 201 63 68 28 23 25 49 201 63 69 28 23 28 50 201 63 70 28 23 30 49 201 63 71 28 23 32 50 201 63 72 28 23 30 50 201 63 73 28 23 48 49 201 63 74 28 23 39 50 201 63 75 28 23 26 48 201 63 76 28 23 26 49 201 63 77 28 23 27 48 201 63 78 28 23 30 49 201 63 79 28 23 30 48 201 63 80 28 23 31 48 201 63 81 28 23 25 48 201 63 82 28 23 33 48 201 63 83 28 23 31 48 201 63 84 28 23 31 49 201 63 85 28 23 25 49 201 63 86 28 23 32 50 201 63 87 28 23 31 49 201 63 88 28 23 25 49 201 63 89 28 23 28 49 201 63 90 28 23 48 48 201 63 91 28 23 47 50 201 63 92 28 23 32 49 201 63 93 28 23 42 48 201 63 94 28 23 40 49 201 63 95 28 23 31 48 201 63 96 28 23 46 48 201 63 97 28 23 26 49 201 63 98 28 23 39 49 201 63 99 28 23 43 48 201 63 100 28 23 43 49 201 63 101 28 23 25 48 201 63 102 28 23 47 50 201 63 103 28 23 26 48 201 63 104 28 23 30 48 201 63 105 28 23 29 48 201 63 106 28 23 27 48 201 63 107 28 23 25 48 202 63 108 28 23 40 48 202 63 109 28 23 33 49 202 63 110 28 23 26 49 202 63 111 28 23 26 48 202 63 112 28 23 43 49 202 63 113 28 23 29 48 202 63 114 28 23 40 49 202 63 115 28 23 26 50 202 63 116 28 23 25 48 202 63 117 28 23 34 49 202 63 118 28 23 27 48 202 63 119 28 23 25 50 202 63 120 28 23 26 48 202 63 121 28 23 28 49 202 63 122 28 23 46 49 202 63 123 28 23 39 48 202 63 124 28 23 25 50 202 63 125 28 23 46 48 202 63 126 28 23 26 50 202 63 127 28 23 33 49 202 63 128 28 23 34 48 202 63 129 28 23 28 48 202 63 130 28 23 26 48 202 63 131 28 23 33 49 202 63 132 28 23 29 48 202 63 133 28 23 25 49 202 63 134 28 23 32 49 202 63 135 28 23 43 48 202 63 136 28 23 41 49 202 63 137 28 23 26 48 202 63 138 28 23 25 49 202 63 139 28 23 29 48 202 63 
140 28 23 26 48 202 63 
141 28 23 28 48 202 63 
142 28 23 25 48 202 63 
143 28 23 31 50 202 63 
144 28 23 25 48 202 63 
145 28 23 30 49 202 63 
