LoRa Sender
The values inside the EEPROM are : 
19 36 59 89 66 100 64 
1 34 20 37 62 100 65 
2 34 20 37 62 100 65 
3 35 19 40 62 111 65 
4 35 19 40 62 99 65 
5 35 19 34 62 99 65 
6 35 20 42 62 99 65 
7 35 20 35 62 99 65 
8 35 20 39 61 99 65 
9 35 20 43 61 117 65 
10 35 20 33 61 99 65 
11 35 20 32 61 99 65 
12 35 20 33 61 99 65 
13 35 20 38 61 99 65 
14 35 20 42 61 99 65 
15 35 20 34 61 99 65 
16 35 20 39 61 99 65 
17 35 20 42 61 99 65 
18 35 20 36 61 101 65 
19 35 20 36 61 120 65 
20 35 20 33 61 99 65 
21 35 20 44 61 99 65 
22 35 20 34 61 99 65 
23 35 20 33 61 99 65 
24 35 20 41 61 99 65 
25 35 20 33 61 99 65 
26 35 20 38 61 102 65 
27 35 20 33 61 99 65 
28 35 20 42 61 102 65 
29 35 20 34 61 105 65 
30 35 20 36 61 109 65 
31 35 20 35 61 101 65 
32 35 20 40 61 114 65 
33 35 20 34 61 119 65 
34 35 20 42 61 135 65 
35 35 20 37 61 107 65 
36 35 20 33 61 109 65 
37 35 20 34 61 109 65 
38 35 20 36 61 104 65 
39 35 20 38 61 105 65 
40 35 20 33 61 104 65 
41 35 20 35 61 102 65 
42 36 20 37 61 119 65 
43 35 20 33 60 108 65 
44 36 20 41 60 112 65 
45 36 20 41 60 111 65 
46 36 20 44 60 107 65 
47 36 20 38 60 122 65 
48 36 20 36 60 114 65 
49 36 20 36 60 102 65 
50 36 20 40 60 103 65 
51 36 20 42 60 102 65 
52 36 20 33 60 111 65 
53 36 20 34 60 108 65 
54 36 20 43 60 101 65 
55 36 20 35 60 108 65 
56 36 20 38 60 173 65 
57 36 20 34 60 108 65 
58 36 20 44 60 120 65 
59 36 20 37 60 110 65 
60 36 20 38 60 117 65 
61 36 20 40 60 117 66 
62 36 20 42 60 109 65 
63 36 20 42 60 110 66 
64 36 20 43 60 114 66 
65 36 20 43 60 116 66 
66 36 20 36 60 108 66 
67 36 20 34 60 109 66 
68 36 20 34 60 104 66 
69 36 20 36 60 114 65 
70 36 20 42 60 116 66 
71 36 20 43 60 102 66 
72 36 20 35 60 101 65 
73 36 20 43 60 109 66 
74 36 20 36 60 113 66 
75 36 20 35 60 109 66 
76 36 20 44 60 103 66 
77 36 20 35 60 109 66 
78 36 20 42 60 108 66 
79 36 20 42 60 108 66 
80 36 20 35 60 109 66 
81 36 20 38 60 104 66 
82 36 20 37 60 107 66 
83 36 20 39 60 102 66 
84 36 20 43 60 101 66 
85 36 20 39 60 103 66 
86 36 20 40 60 101 66 
87 36 20 35 60 101 66 
88 36 20 43 60 104 66 
89 36 20 42 60 101 66 
90 36 20 35 60 103 66 
91 36 20 42 60 180 66 
92 36 20 38 60 102 66 
93 36 20 35 60 110 66 
94 37 19 38 60 112 66 
95 36 20 35 60 109 66 
96 37 19 38 60 105 66 
97 37 19 35 60 103 66 
98 37 19 40 60 102 66 
99 37 19 37 59 102 66 
100 37 19 41 59 107 66 
101 37 19 35 59 105 66 
102 37 19 36 59 118 66 
103 37 19 35 59 120 66 
104 37 19 44 59 101 66 
105 37 19 42 59 101 66 
106 37 19 40 59 101 66 
107 37 19 35 59 101 66 
108 37 19 37 59 109 66 
109 37 19 44 59 103 66 
110 37 19 43 59 111 66 
111 37 19 39 59 105 66 
112 37 19 39 59 116 66 
113 37 19 38 59 107 66 
114 37 19 39 59 107 66 
115 37 19 36 59 105 66 
116 37 19 44 59 101 66 
117 37 19 35 59 118 66 
118 37 19 36 59 97 66 
119 37 19 35 59 103 66 
120 37 19 44 59 97 66 
121 37 19 44 59 99 66 
122 37 19 38 59 95 66 
123 37 19 36 59 95 66 
124 37 19 44 59 96 66 
125 37 19 43 59 95 66 
126 37 19 41 59 93 66 
127 37 19 44 59 94 66 
128 37 19 36 59 94 66 
129 37 19 36 59 91 66 
130 37 19 44 59 92 66 
131 37 19 41 59 91 66 
132 37 19 40 59 92 66 
133 37 19 40 59 91 66 
134 37 19 36 59 91 66 
135 37 19 36 59 91 66 
136 37 19 41 59 91 66 
137 37 19 44 59 92 66 
138 37 19 43 59 90 66 
139 37 19 36 59 89 66 
140 37 19 37 59 88 66 
141 37 19 42 59 89 66 
142 37 19 42 59 86 66 
143 37 19 40 59 87 66 
144 37 19 43 59 87 66 
145 37 19 36 59 91 66 
