LoRa Sender
The values inside the EEPROM are : 
15 49 55 59 54 88 56 
1 38 18 39 66 88 56 
2 38 18 35 65 88 57 
3 38 18 35 66 88 56 
4 38 18 37 66 88 56 
5 38 18 42 64 88 56 
6 38 18 36 65 88 56 
7 38 18 42 64 88 56 
8 38 18 39 65 88 56 
9 38 18 35 66 88 56 
10 38 18 42 64 88 56 
11 38 18 41 64 90 56 
12 38 18 38 65 88 56 
13 38 18 34 64 88 56 
14 38 18 35 65 88 56 
15 38 18 41 64 88 56 
16 38 18 41 64 88 56 
17 38 18 39 66 88 56 
18 38 18 39 64 88 56 
19 38 18 40 64 88 56 
20 38 18 39 64 89 56 
21 38 18 35 66 89 56 
22 38 18 38 63 89 56 
23 38 18 42 65 88 56 
24 38 18 42 63 87 56 25 38 18 37 63 86 56 26 38 18 42 62 85 56 27 38 17 36 62 84 56 28 38 16 42 63 82 56 29 38 15 42 61 81 56 30 38 13 38 61 77 56 31 38 12 40 61 74 56 32 38 12 44 59 82 55 33 37 12 44 59 67 55 34 37 12 49 57 66 55 35 37 12 44 59 62 55 36 38 18 49 58 61 55 37 38 18 49 57 60 55 38 38 18 50 57 60 55 39 38 18 48 57 60 55 40 38 17 46 57 60 55 41 38 17 50 58 60 55 42 38 17 46 57 59 55 43 38 17 51 57 59 55 44 38 16 51 57 70 55 45 38 16 51 58 60 55 46 38 16 45 58 59 55 47 38 16 51 57 61 55 48 38 16 51 57 59 55 49 38 16 51 57 59 55 50 38 16 47 56 60 55 51 38 15 51 56 60 55 52 38 15 50 57 65 55 53 38 15 49 57 60 55 54 38 15 50 56 60 55 55 38 15 47 56 59 55 56 38 15 51 57 59 55 57 37 15 46 57 60 55 58 37 15 46 57 60 55 59 37 15 49 56 60 55 60 37 15 47 58 59 55 61 37 15 46 57 59 55 62 37 15 51 58 59 55 63 37 15 50 56 59 55 64 37 15 49 57 59 55 65 37 15 46 57 59 55 66 37 15 48 57 59 55 67 37 15 51 56 59 55 68 37 15 50 56 59 55 69 37 15 50 57 59 55 70 37 15 46 56 59 55 71 37 15 51 57 59 55 72 37 15 46 56 59 55 73 37 15 51 56 59 55 74 37 15 46 57 59 55 75 37 15 49 56 66 55 76 37 15 46 56 59 54 77 37 15 51 56 59 55 78 37 15 51 57 59 55 79 37 15 46 56 60 55 80 37 15 51 56 60 54 81 37 15 49 56 59 55 82 37 15 51 56 58 55 83 37 15 49 56 58 54 84 37 15 51 56 58 55 85 37 15 46 56 61 55 86 37 15 51 56 59 55 87 37 15 47 57 58 55 88 37 15 49 56 59 55 89 37 15 50 57 59 55 90 37 15 47 56 58 55 91 37 15 47 55 58 54 92 37 15 48 56 58 55 93 37 15 51 56 58 55 94 37 15 46 56 58 55 95 38 15 51 55 58 55 96 38 15 46 56 58 55 97 38 15 51 56 58 55 98 38 15 50 55 58 55 99 38 15 50 56 58 55 100 38 15 51 56 58 55 101 38 15 51 55 58 55 102 38 15 46 55 58 55 103 38 15 46 56 58 55 104 38 15 46 55 60 55 105 38 15 51 55 59 55 106 38 15 51 56 58 55 107 38 15 49 55 58 55 108 38 15 51 56 58 55 109 38 15 47 56 59 55 110 38 15 46 55 63 55 111 38 15 47 56 58 55 112 38 15 51 55 58 55 113 38 15 48 55 58 55 114 38 15 51 56 58 55 115 38 15 51 55 58 55 116 38 15 47 55 58 55 117 38 15 47 56 58 55 118 38 15 48 55 58 55 119 38 15 50 55 58 55 120 38 15 46 56 58 54 121 38 15 46 55 58 54 122 38 15 49 55 58 54 123 38 15 48 55 58 55 124 38 15 51 56 71 54 125 38 15 46 55 58 55 126 38 15 47 56 58 54 127 38 15 51 56 58 54 128 38 15 47 55 59 55 129 38 15 51 55 58 55 130 38 15 46 55 58 55 131 38 15 51 55 59 54 132 38 15 46 55 59 54 133 38 15 51 55 58 54 134 38 15 50 55 58 55 135 38 15 47 55 88 54 136 38 15 48 55 127 54 137 38 15 48 57 59 55 138 38 15 47 55 121 55 139 38 15 51 55 59 54 140 38 15 51 55 59 55 141 38 15 51 55 61 54 
142 38 15 51 55 62 55 
143 38 15 46 55 57 54 
144 38 15 48 55 57 55 
145 38 15 51 56 57 54 
