LoRa Sender
The values inside the EEPROM are : 
0 35 13 41 50 81 66 
1 34 14 33 51 87 68 
2 34 14 53 51 87 68 
3 34 14 36 51 87 68 
4 34 14 40 51 87 68 
5 34 14 31 51 86 68 
6 34 14 42 51 86 68 
7 34 14 31 51 86 68 
8 34 14 32 51 86 68 
9 34 14 38 51 87 68 
10 34 14 37 51 86 68 
11 34 14 33 51 86 68 
12 34 14 34 51 86 68 
13 33 14 34 51 86 68 
14 33 14 31 51 86 68 
15 33 14 46 51 86 68 
16 33 14 35 51 86 68 
17 33 14 32 51 86 68 
18 33 14 31 51 86 68 
19 33 14 31 51 86 68 
20 33 14 35 51 86 68 
21 33 14 35 50 86 68 
22 33 14 37 50 86 68 
23 33 14 35 50 86 68 
24 33 14 37 50 86 68 
25 33 14 41 50 86 68 
26 33 14 37 50 86 68 
27 33 14 31 50 85 68 
28 33 14 41 50 85 68 
29 33 14 37 50 85 68 
30 33 14 38 50 85 68 
31 33 14 37 50 85 68 
32 33 14 44 50 85 68 
33 33 14 31 50 85 68 
34 33 14 52 50 85 68 
35 34 14 37 50 85 68 
36 33 14 45 50 85 68 
37 34 14 40 50 85 68 
38 34 14 41 50 85 68 
39 34 14 32 50 85 68 
40 34 14 32 50 85 68 
41 34 14 50 50 85 68 
42 34 14 40 50 85 68 
43 34 14 49 50 85 68 
44 34 14 32 50 85 68 
45 34 14 37 50 85 68 
46 34 14 31 50 85 68 
47 34 14 50 50 85 68 
48 34 14 31 50 85 68 
49 34 14 42 50 85 68 
50 34 14 32 50 85 68 
51 34 14 41 50 85 68 
52 34 14 40 50 85 68 
53 34 14 35 50 85 68 
54 34 14 41 50 85 68 
55 34 14 44 50 85 68 
56 34 14 49 50 85 68 
57 34 14 37 50 85 68 
58 34 14 31 50 84 68 
59 34 14 40 50 84 68 
60 34 14 31 50 84 68 
61 34 14 41 50 84 68 
62 34 14 31 50 84 68 
63 34 14 42 50 84 68 
64 34 14 46 50 84 68 
65 34 14 31 50 84 68 
66 34 14 41 50 84 68 
67 33 14 31 50 84 68 
68 33 14 31 50 84 68 
69 33 14 34 50 84 68 
70 33 14 32 50 84 68 
71 33 14 32 50 84 67 
72 33 14 34 50 84 68 
73 33 14 37 50 84 68 
74 33 14 37 50 84 68 
75 33 14 39 50 84 68 
76 33 14 43 50 84 68 
77 33 14 32 50 84 67 
78 33 14 32 50 84 68 
79 33 14 35 50 84 68 
80 33 14 33 50 84 68 
81 33 14 37 50 84 68 
82 33 14 34 50 83 68 
83 33 14 31 50 83 67 
84 33 14 32 50 83 68 
85 33 14 49 50 83 68 
86 33 14 47 50 83 68 
87 33 14 38 50 83 68 
88 33 14 34 50 83 68 
89 33 14 34 50 83 67 
90 33 14 42 50 83 68 
91 33 14 34 50 83 68 
92 34 14 32 50 83 67 
93 34 14 32 50 83 68 
94 34 14 37 50 83 67 
95 34 14 37 50 83 67 
96 34 14 36 50 83 68 
97 34 14 45 50 83 67 
98 34 14 32 50 83 68 
99 34 14 32 50 83 67 
100 34 14 34 50 83 67 
101 34 14 42 50 83 68 
102 34 14 39 50 83 67 
103 34 14 39 50 83 67 
104 34 14 41 50 83 67 
105 34 14 37 50 83 67 
106 34 14 32 50 83 67 
107 34 14 51 50 83 68 
108 34 14 37 50 83 67 
109 34 14 42 50 83 67 
110 34 14 32 50 83 67 
111 34 14 32 50 83 68 
112 34 14 42 50 83 67 
113 34 14 41 50 83 67 
114 34 14 44 50 83 68 
115 34 14 39 50 83 67 
116 34 14 32 50 82 68 
117 34 14 39 50 82 67 
118 34 14 34 50 82 67 
119 34 14 43 50 82 67 
120 34 14 46 50 82 67 
121 34 14 43 50 82 67 
122 34 14 39 50 82 67 
123 34 14 39 50 82 67 
124 34 14 33 50 82 67 
125 34 14 35 50 82 67 
126 34 14 34 50 82 67 
127 34 14 51 50 82 67 
128 34 14 38 50 82 67 
129 34 14 32 50 82 67 
130 34 14 33 50 82 67 
131 34 14 51 50 82 67 
132 34 14 39 50 82 67 
133 34 14 32 50 82 67 
134 34 14 38 50 82 67 
135 34 14 42 50 82 67 
136 34 14 38 50 82 67 
137 34 14 37 50 82 67 
138 34 14 39 50 82 67 
139 34 14 47 50 82 67 
140 34 14 41 50 82 67 
141 34 14 36 50 82 67 
142 34 14 36 50 82 67 
143 34 14 42 50 82 67 
144 34 14 34 50 82 67 
145 34 14 43 50 82 67 
