LoRa Sender
The values inside the EEPROM are : 
19 44 44 80 64 77 63 
1 36 15 50 46 79 62 
2 36 17 46 45 77 63 
3 36 16 43 45 77 63 
4 36 17 48 45 75 63 
5 36 15 49 46 80 63 
6 36 17 49 46 81 63 
7 36 18 44 46 81 63 
8 36 18 43 46 81 63 
9 36 18 43 45 81 63 
10 36 18 43 45 81 63 
11 36 18 43 45 81 63 
12 36 18 46 45 81 63 
13 36 18 48 45 81 63 14 36 18 43 45 81 63 15 36 18 46 45 81 63 16 36 18 47 45 81 63 17 35 18 47 45 81 63 18 36 18 39 45 82 63 19 35 18 45 45 82 63 20 35 19 45 45 82 63 21 35 18 45 45 82 63 22 35 18 48 45 82 63 23 35 18 41 45 82 63 24 35 18 42 45 82 63 25 35 19 40 45 82 63 26 35 19 47 45 82 63 27 35 18 39 45 82 63 28 35 19 45 45 82 63 29 35 18 42 45 82 63 30 35 18 44 45 82 63 31 35 18 47 45 82 63 32 35 19 47 45 82 63 33 35 18 46 45 82 63 34 35 19 42 45 82 63 35 35 19 39 45 82 63 36 35 19 47 45 82 63 37 35 19 42 45 82 63 38 35 19 48 45 82 63 39 35 19 41 45 82 63 40 35 19 47 45 82 63 41 35 19 40 45 82 64 42 35 19 40 45 82 63 43 35 19 40 45 82 63 44 35 19 40 44 82 64 45 35 19 38 44 82 64 46 35 19 39 44 82 64 47 35 19 40 44 82 63 48 35 19 42 44 82 63 49 35 19 41 44 82 64 50 35 19 43 44 82 64 51 35 19 46 44 82 64 52 35 19 42 44 82 63 53 35 19 47 44 82 63 54 35 19 46 44 82 63 55 35 19 45 44 82 64 56 35 19 45 44 82 64 57 35 19 44 44 82 63 58 35 19 47 44 82 64 59 35 19 43 44 82 63 60 35 19 38 44 82 64 61 35 19 44 44 82 63 62 35 19 46 44 82 64 63 35 19 39 44 82 64 64 35 19 42 44 82 63 65 35 19 42 44 82 63 66 35 19 42 44 82 63 67 35 19 38 44 82 64 68 35 19 44 44 82 64 69 35 19 44 44 82 64 70 35 19 41 44 82 64 71 35 19 45 44 82 64 72 35 19 42 44 82 63 73 35 19 42 44 82 64 74 35 19 46 44 82 63 75 35 19 43 44 82 64 76 35 19 38 44 82 63 77 35 19 45 44 82 64 78 35 19 45 44 82 64 79 35 19 38 44 82 64 80 35 19 43 44 82 64 81 35 19 39 44 82 64 82 35 19 41 44 82 64 83 35 19 39 44 82 64 84 35 19 38 44 82 64 85 35 19 42 44 81 64 86 35 19 44 44 81 64 87 35 19 44 44 82 64 88 35 19 47 44 82 64 89 35 19 46 44 82 64 90 35 19 42 44 81 64 91 35 19 46 44 81 64 92 35 19 38 44 81 64 93 35 19 46 44 81 64 94 35 19 43 44 81 64 95 35 19 45 44 81 64 96 35 19 46 44 81 64 97 35 19 41 44 81 64 98 35 19 43 44 81 64 99 35 19 38 44 81 64 100 35 19 42 44 81 64 101 35 19 46 44 81 64 102 35 19 41 44 81 64 103 35 19 43 44 81 64 104 35 19 45 44 81 64 105 35 19 44 44 81 64 106 35 19 41 44 81 64 107 35 19 48 44 81 64 108 35 19 44 44 81 64 109 35 19 39 44 81 64 110 35 19 46 44 81 64 111 35 19 47 44 81 64 112 35 19 46 44 81 64 113 35 19 46 44 81 64 114 35 19 39 44 81 64 115 35 19 44 44 81 64 116 35 19 38 44 81 64 117 35 19 46 44 81 64 118 35 19 42 44 81 64 119 35 19 49 44 81 64 120 35 19 45 44 81 64 121 35 19 39 44 81 64 122 35 19 42 44 81 64 123 35 19 46 44 81 64 124 35 19 42 44 81 64 125 35 19 38 44 81 64 126 35 19 43 44 81 64 127 35 19 41 44 81 64 128 35 19 38 44 81 64 129 35 19 41 44 81 64 130 35 19 38 44 81 64 131 35 19 42 44 81 64 132 35 19 38 44 81 64 133 35 19 38 44 81 64 134 35 18 41 44 81 64 135 35 19 44 44 81 64 136 35 19 38 44 81 64 137 35 19 38 44 81 64 138 35 19 46 44 81 64 139 35 19 40 44 81 64 140 35 19 44 44 81 64 
141 35 19 44 44 81 64 
142 35 18 38 44 81 64 
143 35 19 44 44 81 64 
144 35 19 40 44 81 64 
145 35 19 45 44 81 64 
