LoRa Sender
The values inside the EEPROM are : 
0 28 22 34 62 105 54 
1 28 22 32 62 105 54 
2 28 23 40 62 105 54 
3 28 23 30 62 105 54 
4 28 23 31 62 105 54 
5 28 23 40 62 105 54 
6 28 23 33 62 105 54 
7 28 23 27 62 105 53 
8 28 23 27 62 105 54 9 28 23 33 62 105 53 10 28 23 30 62 105 54 11 28 23 35 62 105 53 12 28 23 34 62 105 53 13 28 23 34 62 105 53 14 28 23 36 62 105 53 15 28 23 33 62 105 53 16 28 23 29 62 105 53 17 28 23 27 62 105 53 18 28 23 34 62 105 53 19 28 23 27 62 105 53 20 28 23 28 62 105 53 21 28 23 36 62 105 53 22 28 23 30 62 105 53 23 28 23 27 62 105 53 24 28 23 28 62 105 53 25 28 23 27 62 105 53 26 28 23 28 62 105 53 27 28 23 33 62 105 53 28 28 23 27 62 105 53 29 28 23 35 62 105 53 30 28 23 41 62 105 53 31 28 23 27 62 105 53 32 28 23 35 62 105 53 33 28 23 40 62 105 53 34 28 23 35 62 105 53 35 28 23 33 62 105 53 36 28 23 30 62 105 53 37 28 23 27 62 105 53 38 28 23 27 62 105 53 39 28 23 37 62 105 53 40 28 23 35 62 105 53 41 28 23 37 63 105 53 42 28 23 35 63 105 53 43 28 23 39 63 105 52 44 28 23 34 63 105 53 45 28 23 27 63 105 53 46 28 23 27 63 105 53 47 28 23 28 63 105 53 48 28 23 29 63 105 53 49 28 23 31 63 105 53 50 28 23 33 63 105 53 51 28 23 28 63 105 52 52 28 23 38 63 105 53 53 28 23 31 63 105 52 54 28 23 29 63 105 53 55 28 23 29 63 105 53 56 28 23 34 63 105 53 57 28 23 27 63 105 53 58 28 23 35 63 105 52 59 28 23 27 63 105 52 60 28 23 36 63 105 52 61 28 23 34 63 105 52 62 28 23 27 63 105 52 63 28 23 34 63 105 52 64 28 23 29 63 105 52 65 28 23 31 63 105 52 66 28 23 36 63 105 52 67 28 23 32 63 105 52 68 28 23 39 63 105 52 69 28 23 28 63 105 52 70 28 23 29 63 105 52 71 28 23 35 63 105 52 72 28 23 29 63 105 52 73 28 23 30 63 105 52 74 28 23 39 63 105 52 75 28 23 27 63 105 52 76 28 23 38 63 105 52 77 28 23 28 63 105 52 78 28 23 28 63 105 52 79 28 23 38 63 105 52 80 28 23 27 63 105 52 81 28 23 28 63 105 52 82 28 23 30 63 105 52 83 28 23 31 63 105 52 84 28 23 31 63 105 52 85 28 23 28 63 105 52 86 28 23 28 63 105 52 87 28 23 37 63 105 52 88 28 23 35 63 105 52 89 28 23 35 63 105 52 90 28 23 31 63 105 52 91 28 23 30 63 105 52 92 28 23 35 63 105 52 93 28 23 40 63 105 52 94 28 23 40 63 105 52 95 28 23 29 63 105 52 96 28 23 31 63 105 52 97 28 23 27 63 105 52 98 28 23 33 63 105 52 99 28 23 35 63 105 52 100 28 23 33 63 105 52 101 28 23 30 63 105 52 102 28 23 35 63 105 52 103 28 23 33 63 105 52 104 28 23 31 63 105 52 105 28 23 33 63 105 52 106 28 23 28 63 105 52 107 28 23 35 63 105 52 108 28 23 27 63 105 52 109 28 23 28 63 106 52 110 28 23 35 63 105 52 111 28 23 36 63 105 52 112 28 23 33 63 105 52 113 28 23 27 63 105 52 114 28 23 30 63 105 52 115 28 23 30 63 105 52 116 28 23 29 63 105 52 117 28 23 28 63 105 52 118 28 23 35 63 105 52 119 28 23 33 63 105 52 120 28 23 33 63 105 52 121 28 23 33 63 105 52 122 28 23 30 63 105 52 123 28 23 28 63 105 51 
124 28 23 33 63 105 51 
125 28 23 35 63 105 52 
126 28 23 30 63 105 51 
127 28 23 41 63 105 51 
128 28 23 28 63 105 51 
129 28 23 31 63 105 51 
130 28 23 28 63 105 51 
