LoRa Sender
The values inside the EEPROM are : 
17 51 61 100 61 89 62 
1 41 16 47 61 110 62 
2 41 16 45 61 89 62 
3 41 16 52 61 94 62 
4 41 16 47 61 92 62 
5 41 16 52 61 99 62 
6 41 16 47 61 85 62 
7 41 16 44 61 86 62 
8 41 16 45 61 91 62 
9 41 16 51 61 93 62 
10 41 16 49 61 89 62 
11 41 16 51 61 92 62 
12 41 16 47 61 93 62 
13 41 16 45 61 91 61 
14 41 16 49 61 90 62 
15 41 16 48 61 91 62 
16 41 16 46 61 91 62 
17 41 16 46 61 92 62 
18 41 16 48 61 90 61 
19 41 16 48 61 90 61 
20 41 16 45 61 95 61 
21 41 16 47 61 114 62 22 40 17 50 61 98 61 23 40 17 45 61 86 62 24 40 17 43 61 92 62 25 40 17 48 61 93 61 26 40 17 47 61 93 62 27 40 17 45 61 89 62 28 40 17 46 61 94 61 29 40 17 47 61 95 62 30 40 17 47 61 93 61 31 40 17 51 61 98 62 32 40 17 43 61 95 61 33 40 17 51 61 97 61 34 40 17 50 61 98 62 35 40 17 50 61 108 62 36 40 17 47 61 96 62 37 40 17 43 61 99 61 38 40 17 45 61 100 61 39 40 17 43 61 97 61 40 40 17 48 61 97 62 41 40 17 47 61 97 62 42 39 17 48 61 94 61 43 39 17 43 61 93 61 44 40 17 46 61 94 61 45 39 17 44 61 95 61 46 39 17 47 61 97 61 47 39 17 44 61 97 61 48 39 17 46 61 96 62 49 39 17 44 61 94 61 50 39 17 48 61 98 61 51 39 17 43 61 94 61 52 39 17 43 61 101 61 53 39 17 46 61 104 61 54 39 17 48 61 106 61 55 39 17 44 61 117 61 56 39 17 44 61 102 61 57 39 17 43 61 100 61 58 39 17 46 61 97 61 59 39 17 44 61 104 61 60 39 17 51 61 102 61 61 39 17 48 61 101 61 62 39 17 47 61 100 61 63 39 17 47 61 100 61 64 39 17 46 61 102 61 65 39 17 50 61 100 61 66 39 17 44 61 100 61 67 39 17 50 61 102 61 68 39 17 46 61 100 61 69 39 17 48 61 96 61 70 39 17 44 61 98 61 71 39 17 47 61 93 61 72 39 17 43 61 101 61 73 39 17 43 61 100 61 74 39 17 43 61 95 61 75 39 17 51 61 95 61 76 39 17 45 61 95 61 77 39 17 51 61 96 61 78 39 17 44 61 98 61 79 39 17 48 61 98 61 80 39 17 46 61 99 61 81 39 17 43 61 94 61 82 39 17 47 61 99 61 83 39 17 44 61 103 61 84 39 17 43 61 101 61 85 39 17 48 61 99 61 86 39 17 43 61 95 61 87 39 17 48 61 103 61 88 39 17 49 61 95 61 89 39 17 44 61 99 61 90 39 17 50 61 92 61 91 39 17 44 61 98 61 92 39 17 44 61 97 61 93 39 17 50 61 93 61 94 39 17 50 61 94 61 95 39 17 47 61 94 61 96 39 17 48 61 93 61 97 39 17 48 61 99 61 98 39 17 43 61 98 61 99 39 17 43 61 99 61 100 39 17 47 61 97 61 101 39 17 50 61 98 61 102 39 17 47 61 100 61 103 39 17 50 61 100 61 104 39 17 47 61 97 61 105 39 17 44 61 97 61 106 39 17 46 61 98 61 107 39 17 44 61 95 61 108 39 17 51 61 90 61 109 39 17 46 61 99 61 110 39 17 46 61 87 61 111 39 17 44 61 87 61 112 39 17 51 61 87 61 113 39 17 44 61 89 61 114 39 17 47 61 83 61 115 39 17 44 61 96 61 116 39 17 44 61 94 61 117 39 17 50 61 96 61 118 39 17 49 61 106 61 119 39 17 43 61 100 61 120 39 17 48 61 105 61 121 39 17 51 61 91 61 122 39 17 47 61 103 61 123 39 17 43 61 98 61 124 39 17 47 61 104 61 125 39 17 46 61 96 61 126 39 17 48 61 98 61 127 39 17 43 61 93 61 128 39 17 47 61 96 61 129 39 17 51 61 93 61 130 39 17 44 61 96 61 131 39 17 50 61 91 61 132 39 17 48 61 98 61 133 39 17 49 61 99 61 134 39 17 46 61 97 61 135 39 17 51 61 98 61 136 39 17 44 61 101 61 137 39 17 49 61 99 61 138 39 17 48 61 100 61 139 39 17 51 61 94 61 140 39 17 50 61 102 61 141 39 17 51 61 95 61 142 39 17 48 61 91 61 143 39 17 44 61 97 61 144 39 17 45 61 94 61 145 39 17 51 61 97 61 146 39  
