LoRa Sender
The values inside the EEPROM are : 
0 35 24 42 36 56 44 
1 34 16 42 35 55 43 
2 34 17 42 35 55 41 
3 34 17 38 35 55 39 
4 34 17 42 34 55 37 
5 34 18 42 34 54 34 
6 34 18 43 33 54 30 
7 34 17 43 33 55 27 
8 34 17 42 33 55 26 
9 34 17 44 32 53 25 
10 34 17 42 32 54 24 
11 34 16 64 30 33 27 
12 33 14 59 30 34 25 
13 33 14 59 29 35 23 
14 33 14 46 30 47 18 
15 33 15 45 30 45 18 
16 33 15 45 30 65 17 
17 33 15 45 30 55 15 
18 33 15 44 30 81 12 
19 33 14 45 29 44 11 
20 33 15 44 29 68 9 
21 33 15 45 29 37 8 
22 33 14 45 29 37 7 
23 42 10 51 54 78 59 
24 42 10 46 54 78 59 
25 42 10 46 54 77 59 
26 42 10 52 54 77 59 
27 41 16 43 60 100 58 
28 41 16 44 60 103 58 
29 41 16 43 60 96 58 
30 41 16 49 60 98 58 
31 41 16 50 60 96 58 
32 41 16 49 60 96 58 
33 41 16 49 60 96 58 
34 41 16 49 59 96 58 
35 41 16 50 59 96 58 
36 41 16 46 59 96 58 
37 41 16 43 59 95 58 
38 41 16 45 59 95 58 
39 41 16 43 60 95 57 
40 41 16 48 60 95 58 
41 41 16 43 60 95 58 
42 41 16 50 58 95 60 
43 41 16 46 58 95 60 
44 41 16 50 58 95 60 
45 41 16 44 58 95 60 
46 41 16 46 58 95 60 
47 41 16 48 58 95 60 
48 41 16 43 58 95 60 
49 41 16 47 58 95 60 
50 41 16 43 58 95 60 
51 41 16 44 58 95 60 
52 41 16 46 58 95 60 
53 41 16 48 58 95 60 
54 41 16 43 58 95 60 
55 41 16 49 58 95 60 
56 41 16 45 58 95 60 
57 41 16 46 58 95 60 
58 41 16 44 58 95 60 
59 41 16 50 58 95 60 
60 41 16 50 58 95 60 
61 41 16 43 58 95 60 
62 41 16 47 58 95 60 
63 41 16 48 58 95 60 
64 41 16 48 58 95 60 
65 41 16 46 57 95 60 
66 41 16 49 57 95 60 
67 41 16 50 57 95 60 
68 41 16 45 58 95 60 
69 41 16 43 57 95 60 
70 41 16 43 57 95 60 
71 41 16 50 57 95 60 
72 41 16 48 57 95 60 
73 41 16 44 57 95 60 
74 41 16 47 57 95 60 
75 41 16 43 57 96 60 
76 41 16 50 57 97 60 
77 41 16 44 57 95 60 
78 41 16 48 57 95 60 
79 41 16 50 57 95 60 
80 41 16 44 57 98 60 
81 41 16 48 57 98 60 
82 41 16 50 57 97 60 
83 41 16 47 57 99 60 
84 41 16 46 57 98 60 
85 41 16 51 57 97 61 
86 41 16 45 57 97 60 
87 41 16 50 57 98 60 
88 41 16 51 57 95 60 
89 41 16 45 57 95 60 
90 41 16 46 57 95 60 
91 41 16 50 57 95 60 
92 41 16 51 57 100 60 
93 41 16 44 57 97 60 
94 41 16 49 57 95 60 
95 41 16 51 57 95 60 
96 41 16 48 57 95 60 
97 41 16 45 57 95 60 
98 41 16 50 57 95 60 
99 41 16 51 57 96 60 
100 40 17 48 57 98 60 
101 40 17 48 57 97 60 
102 40 17 51 57 95 60 
103 40 17 45 57 95 60 
104 40 17 45 57 95 61 
105 40 17 48 57 95 60 
106 40 17 51 57 98 60 
107 40 17 51 57 98 60 
108 40 17 44 57 111 60 
109 41 16 51 57 96 60 
110 41 16 47 57 95 60 
111 41 16 44 57 95 60 
112 41 16 44 57 95 61 
113 41 16 46 57 95 60 
114 41 16 51 57 101 60 
115 41 16 45 57 97 60 
116 41 16 51 57 95 61 
117 41 16 50 57 95 60 
118 41 16 44 57 95 61 
119 41 16 47 57 95 61 
120 41 16 46 57 97 60 
121 41 16 46 57 95 60 
122 41 16 48 57 96 61 
123 41 16 46 57 95 60 
124 41 16 46 57 95 61 
125 41 16 45 57 94 60 
126 41 16 45 56 83 60 
127 41 16 52 57 88 60 
128 41 16 45 56 90 60 
129 41 16 52 56 91 60 
130 41 16 45 56 91 60 
131 41 16 45 56 83 60 
132 41 16 45 56 83 60 
133 41 16 50 56 83 60 
134 41 16 48 56 83 60 
135 41 16 49 56 83 60 
136 41 16 46 56 83 60 
137 41 16 52 56 83 60 
138 41 16 45 56 92 60 
139 41 16 51 56 83 60 
140 41 16 45 56 83 60 
141 41 16 50 56 83 60 
142 41 16 46 56 101 60 
143 41 16 52 56 98 60 
144 41 16 49 56 106 60 
145 41 16 45 56 85 60 
