LoRa Sender
The values inside the EEPROM are : 
10 48 51 74 59 78 60 
1 39 13 55 53 78 60 
2 39 13 51 53 78 60 
3 39 13 54 53 78 60 
4 39 13 54 53 78 60 
5 39 13 49 53 78 60 
6 39 13 48 53 78 60 
7 39 13 53 53 78 60 
8 39 13 54 53 78 60 
9 39 13 47 53 78 60 
10 39 13 47 53 78 60 
11 39 13 47 53 78 60 
12 39 13 51 53 78 60 
13 39 13 54 53 78 60 
14 39 13 52 53 78 60 
15 39 13 53 53 78 60 
16 39 13 54 53 78 60 17 40 13 47 53 77 60 18 40 13 48 53 77 60 19 40 13 52 53 78 60 20 40 13 50 53 78 60 21 40 13 50 53 77 60 22 40 13 48 53 77 60 23 40 13 48 52 77 60 24 40 13 47 52 77 60 25 40 13 47 52 77 60 26 40 13 47 52 77 60 27 40 13 50 52 77 60 28 40 13 49 52 77 60 29 40 13 54 52 77 60 30 40 13 47 52 77 60 31 40 13 48 52 77 60 32 40 13 47 52 77 60 33 40 13 48 52 77 60 34 40 13 49 52 77 59 35 40 13 47 52 77 60 36 40 13 51 52 77 59 37 40 13 48 52 77 59 38 40 13 53 52 77 59 39 40 13 48 52 77 59 40 41 11 52 52 77 60 41 41 11 53 52 77 60 42 41 12 49 52 77 59 43 41 12 49 52 77 60 44 41 11 51 52 77 59 45 41 11 47 52 77 59 46 41 12 51 52 77 60 47 41 11 47 52 77 59 48 41 11 50 52 77 59 49 41 11 50 52 77 60 50 41 12 53 52 77 60 51 41 11 47 52 77 59 52 41 12 47 52 77 60 53 41 11 48 52 77 59 54 41 12 53 52 77 59 55 41 11 52 52 77 60 56 41 11 49 52 77 60 57 41 11 49 52 77 59 58 41 11 53 52 77 60 59 41 11 54 52 77 59 60 41 11 50 52 77 59 61 41 11 52 52 77 59 62 41 11 52 52 77 59 63 41 11 49 52 77 59 64 41 11 48 52 77 59 65 41 10 53 52 77 59 66 41 11 51 52 76 59 67 41 11 54 52 76 59 68 41 11 53 52 76 59 69 41 10 48 52 76 59 70 41 11 52 52 76 59 71 41 11 50 52 76 59 72 41 10 48 52 76 59 73 41 10 53 52 76 59 74 41 11 52 52 76 59 75 41 11 53 52 76 59 76 41 10 47 52 76 59 77 41 11 54 52 76 59 78 41 11 52 52 76 59 79 41 10 52 52 76 59 80 41 10 54 52 76 59 81 41 10 49 52 76 59 82 41 11 54 52 76 59 83 41 10 49 52 76 59 84 41 10 51 52 76 59 85 41 10 49 52 75 59 86 41 11 49 52 76 59 87 41 10 54 52 76 59 88 41 10 48 52 76 59 89 41 10 53 52 77 59 90 41 10 51 52 76 59 91 41 10 51 52 77 59 92 41 10 50 52 78 59 93 41 10 54 52 77 59 94 41 10 47 52 78 59 95 41 10 48 52 78 59 96 41 10 51 51 78 59 97 41 10 53 51 78 59 98 41 10 54 51 93 59 99 41 10 49 51 78 59 100 41 10 48 51 79 59 101 41 10 54 51 79 59 102 41 10 52 51 79 59 103 41 10 49 51 79 59 104 41 10 54 51 79 59 105 41 10 54 51 81 59 106 42 10 54 51 79 59 107 42 10 53 51 79 59 108 42 10 50 51 80 59 109 42 10 48 51 75 59 110 42 10 54 51 75 59 111 42 10 50 51 75 59 112 42 10 54 51 75 59 113 42 10 49 51 75 59 114 42 10 48 51 75 59 115 42 10 51 51 75 59 116 42 10 52 51 75 59 117 42 10 50 51 75 59 118 42 10 49 51 75 59 119 42 10 50 51 74 59 120 42 10 48 51 74 59 121 42 10 53 51 75 59 122 42 10 53 51 74 59 123 42 10 53 51 74 59 124 42 10 48 51 74 59 125 42 10 50 51 74 59 126 42 10 52 51 74 59 127 42 10 50 51 74 59 128 42 10 48 51 74 59 129 42 10 49 51 74 59 130 42 10 48 51 74 59 131 42 10 53 51 74 59 132 42 10 48 51 74 59 133 42 10 54 51 74 59 134 42 10 51 51 74 59 135 42 10 49 51 74 59 136 42 10 53 51 74 59 137 42 10 54 51 74 59 138 42 10 51 51 74 59 139 42 10 53 51 74 59 140 42 10 54 51 74 59 141 42 10 48 51 74 59 142 42 10 54 51 74 59 143 42 10 54 51 74 59 144 42 10 48 51 74 59 145 42 10 49 51 74 59 146 42  
