LoRa Receiver
The values inside the EEPROM are : 
63 1 83 0 6 
147 146 63 1 91 0 7 
148 146 63 1 91 0 8 
149 146 63 1 91 0 8 
150 146 63 1 83 0 7 
151 146 63 1 91 0 8 
152 146 63 1 92 0 7 
153 146 63 1 83 0 6 
154 146 63 1 83 0 7 
155 146 63 1 91 0 8 
156 146 63 1 91 0 8 
157 146 63 1 92 0 8 
158 146 63 1 91 0 8 
159 146 63 1 92 0 8 
160 146 63 1 92 0 8 
161 146 63 1 91 0 7 
162 146 63 1 91 0 8 
163 146 63 1 91 0 8 
164 146 63 1 91 0 7 
165 146 63 1 92 0 8 
166 146 63 1 83 0 6 
167 146 63 1 91 0 7 
168 146 63 1 88 0 9 
169 146 63 1 84 0 6 
170 146 63 1 95 0 6 0 8 
25 25 60 1 92 0 8 
26 26 60 1 92 0 8 
27 27 60 1 92 0 8 
28 28 60 1 91 0 8 
29 29 60 1 83 0 6 
30 30 60 1 92 0 8 
31 31 60 1 92 0 8 
32 32 60 1 84 0 7 
33 33 60 1 92 0 8 
34 34 60 1 91 0 8 
35 35 60 1 92 0 8 
36 36 61 1 92 0 8 
37 37 61 1 92 0 8 
38 38 61 1 92 0 8 
39 39 61 1 91 0 8 
40 40 61 1 91 0 8 
41 41 61 1 91 0 8 
42 42 61 1 91 0 8 
43 43 61 1 91 0 8 
44 44 61 1 91 0 8 
45 45 61 1 91 0 8 
46 46 61 1 92 0 8 
47 47 61 1 91 0 8 
48 48 61 1 91 0 8 
49 49 61 1 91 0 8 
50 50 61 1 83 0 7 
51 51 61 1 83 0 7 
52 52 61 1 91 0 8 
53 53 61 1 92 0 8 
54 54 61 1 83 0 6 
55 55 61 1 92 0 8 
56 56 61 1 92 0 8 
57 57 61 1 91 0 8 
58 58 61 1 83 0 6 
59 59 61 1 83 0 6 
60 60 61 1 91 0 8 
61 61 61 1 82 0 7 
62 62 61 1 91 0 8 
63 63 61 1 92 0 8 
64 64 61 1 92 0 8 
65 65 61 1 92 0 9 
66 66 61 1 91 0 8 
67 67 61 1 91 0 8 
68 68 61 1 91 0 8 
69 69 61 1 91 0 8 
70 70 61 1 91 0 8 
71 71 61 1 91 0 8 
72 72 61 1 92 0 8 
73 73 61 1 92 0 8 
74 74 61 1 91 0 8 
75 75 61 1 92 0 9 
76 76 61 1 92 0 8 
77 77 62 1 83 0 7 
78 78 62 1 91 0 8 
79 79 62 1 92 0 8 
80 80 62 1 84 0 7 
81 81 61 1 92 0 8 
82 82 62 1 92 0 9 
83 83 62 1 92 0 8 
84 84 62 1 92 0 8 
85 85 62 1 92 0 8 
86 86 62 1 92 0 8 
87 87 62 1 92 0 9 88 88 62 1 91 0 8 89 89 62 1 92 0 8 90 90 62 1 92 0 8 91 91 62 1 91 0 8 92 92 62 1 92 0 8 93 93 62 1 92 0 8 94 94 62 1 92 0 8 95 95 62 1 84 0 6 96 96 62 1 92 0 8 97 97 62 1 92 0 8 98 98 62 1 91 0 8 99 99 62 1 92 0 8 100 100 62 1 91 0 8 101 101 62 1 92 0 7 102 102 62 1 92 0 8 103 103 62 1 91 0 7 104 104 62 1 92 0 8 105 105 62 1 83 0 6 106 106 62 1 80 0 6 107 107 62 1 83 0 6 108 108 62 1 91 0 8 109 109 62 1 83 0 6 110 110 62 1 83 0 6 111 111 62 1 92 0 8 112 112 62 1 91 0 8 113 113 62 1 92 0 8 114 114 62 1 91 0 8 115 115 62 1 92 0 7 116 116 63 1 92 0 8 117 117 63 1 91 0 7 118 118 63 1 92 0 8 119 119 63 1 91 0 8 120 120 63 1 92 0 8 121 121 63 1 92 0 8 122 122 63 1 91 0 8 123 123 63 1 83 0 6 124 124 63 1 91 0 8 125 125 63 1 92 0 8 126 126 63 1 91 0 8 127 127 63 1 91 0 8 128 128 63 1 83 0 7 129 129 63 1 91 0 8 130 130 63 1 91 0 8 131 131 63 1 92 0 8 132 132 63 1 83 0 6 133 133 63 1 91 0 7 134 134 63 1 92 0 7 135 135 63 1 92 0 7 136 136 63 1 92 0 7 137 137 63 1 91 0 8 138 138 63 1 92 0 7 139 139 63 1 91 0 8 140 140 63 1 91 0 7 141 141 63 1 83 0 6 142 142 63 1 91 0 8 143 143 63 1 91 0 8 
144 144 63 1 91 0 8 
145 145 63 1 91 0 8 
146 146  
