LoRa Sender
The values inside the EEPROM are : 
18 44 52 70 50 75 51 
1 26 20 48 53 76 51 
2 26 20 56 53 75 51 
3 26 21 46 53 75 51 
4 26 21 50 53 76 51 
5 26 20 43 53 75 51 
6 26 20 43 53 76 51 
7 26 20 46 53 76 51 
8 26 20 49 53 76 51 
9 26 20 43 53 75 51 
10 26 20 48 53 75 51 
11 26 20 43 53 75 51 
12 26 20 44 53 75 51 
13 26 20 48 53 75 51 
14 26 20 45 53 75 51 
15 26 20 45 53 75 51 
16 26 20 45 53 75 51 
17 26 20 44 53 75 51 
18 26 20 50 53 74 51 
19 26 20 48 53 74 51 20 26 20 49 53 74 51 21 26 20 44 53 74 51 22 26 20 43 53 74 51 23 26 19 43 53 74 51 24 26 19 48 53 74 51 25 26 19 46 53 74 51 26 26 19 56 53 74 51 27 26 19 43 53 74 51 28 26 19 45 53 74 51 29 26 19 44 53 74 51 30 26 19 51 53 74 51 31 26 19 47 53 74 51 32 26 18 44 53 74 51 33 26 18 43 53 73 51 34 26 18 49 53 74 51 35 26 18 45 53 73 51 36 26 18 50 53 73 51 37 26 18 45 53 73 51 38 26 18 51 53 72 51 39 26 18 44 53 72 51 40 26 18 51 53 73 51 41 26 18 51 53 73 51 42 26 18 43 53 73 50 43 26 18 50 53 72 50 44 26 18 44 53 73 50 45 26 18 48 53 73 50 46 26 18 45 53 74 50 47 26 18 47 53 73 50 48 26 18 45 53 73 50 49 26 18 47 53 72 50 50 26 18 50 53 72 50 51 26 18 52 53 72 50 52 26 18 52 53 72 50 53 26 18 50 53 72 50 54 26 18 55 53 72 50 55 26 18 49 53 72 50 56 26 18 50 53 72 50 57 26 18 45 53 71 51 58 26 18 47 53 71 51 59 26 18 51 53 71 50 60 26 18 53 53 71 51 61 26 18 46 53 71 50 62 26 18 46 53 71 51 63 26 18 51 53 71 51 64 26 18 47 53 70 51 65 26 18 51 52 70 51 66 26 18 51 53 71 50 67 26 18 44 53 71 50 68 26 18 45 53 71 50 69 26 18 50 53 72 50 70 26 18 50 53 72 50 71 26 18 55 53 72 50 72 26 18 46 53 72 50 73 26 18 50 53 72 50 74 26 18 51 53 72 50 75 26 18 49 53 72 50 76 26 18 47 53 72 50 77 26 18 44 53 72 50 78 26 18 43 53 71 50 79 26 18 51 53 71 50 80 26 18 49 53 72 50 81 26 18 49 53 72 50 82 26 18 44 53 71 50 83 26 18 54 53 71 50 84 26 18 47 53 71 50 85 26 18 51 53 71 50 86 26 18 45 53 71 50 87 26 18 48 53 71 50 88 26 18 45 53 71 50 89 26 18 45 53 71 50 90 26 18 49 53 71 50 91 26 18 44 53 71 50 92 26 18 49 53 71 50 93 26 18 43 53 72 50 94 26 18 48 53 71 50 95 26 18 44 53 71 50 96 26 18 50 53 72 50 97 26 18 51 53 71 50 98 26 18 44 53 71 50 99 26 18 53 53 71 50 100 26 18 45 53 71 50 101 26 18 51 53 71 50 102 26 18 50 53 71 50 103 26 18 48 53 71 50 104 26 18 44 53 71 50 105 26 18 52 53 71 50 106 26 18 48 53 71 50 107 26 18 46 53 71 50 108 26 18 50 53 70 50 109 26 18 46 53 71 50 110 26 18 49 53 70 50 111 26 18 45 53 71 50 112 26 18 48 53 71 50 
113 26 18 52 53 71 50 
114 26 18 45 53 70 50 
115 26 18 53 53 70 50 
116 26 18 47 53 71 50 
117 26 18 47 53 70 50 
118 26 18 44 53 71 50 
119 26 18 50 53 71 50 
120 26 18 51 53 70 50 
121 26 18 54 53 71 50 
122 26 18 50 53 71 50 
123 26 18 44 53 71 50 
124 26 18 47 53 70 50 
125 26 18 47 53 70 50 
126 26 18 44 53 70 50 
127 26 18 52 53 70 50 
128 26 18 46 53 70 50 
129 26 18 50 53 70 50 
130 26 18 47 53 70 50 
131 26 18 47 53 70 50 
132 26 18 45 53 70 50 
133 26 18 52 53 70 50 
134 26 18 51 53 70 50 
135 26 18 53 53 70 50 
136 26 18 51 53 70 50 
137 26 18 44 53 70 50 
138 26 18 44 53 70 50 
139 26 18 48 53 70 50 
140 26 18 44 53 70 50 
141 26 18 48 53 69 50 
142 26 18 46 52 69 50 
143 26 18 50 52 70 50 
144 26 18 52 53 70 50 
145 26 18 52 52 69 50 
