LoRa Sender
The values inside the EEPROM are : 
18 42 69 83 66 85 67 
1 36 19 42 71 85 67 
2 36 19 44 70 85 67 
3 36 19 40 70 85 67 
4 36 19 46 70 85 67 
5 36 19 39 70 85 67 
6 36 19 42 70 85 67 
7 36 19 47 70 85 67 
8 36 19 47 70 85 67 
9 36 19 39 70 85 67 10 36 19 42 70 85 67 11 36 19 44 70 85 67 12 36 19 43 70 85 67 13 36 19 38 70 85 67 14 36 19 39 70 85 67 15 36 19 39 70 85 67 16 36 19 42 70 85 67 17 36 19 38 70 85 67 18 36 19 42 70 85 67 19 36 19 47 70 85 67 20 36 19 43 70 85 67 21 36 19 45 69 85 67 22 36 19 42 69 85 67 23 36 19 40 69 85 67 24 36 19 42 69 85 67 25 36 19 38 69 85 67 26 36 19 42 69 85 67 27 36 19 49 69 85 67 28 36 19 42 69 85 67 29 36 19 46 69 85 67 30 36 19 46 69 85 67 31 36 19 39 69 85 67 32 36 19 47 69 85 67 33 36 19 43 69 85 67 34 36 19 40 69 85 67 35 36 19 43 69 85 67 36 36 19 39 69 85 67 37 36 19 43 69 85 67 38 36 19 38 69 85 67 39 36 19 43 69 85 67 40 36 19 47 69 85 67 41 36 19 44 69 85 67 42 36 19 47 69 85 67 43 36 19 47 69 85 67 44 36 19 47 69 85 67 45 36 19 39 69 85 67 46 36 19 48 69 85 67 47 36 19 44 69 85 67 48 36 19 47 69 85 67 49 36 19 41 69 85 67 50 36 19 43 69 85 67 51 36 19 45 69 85 67 52 37 18 47 69 85 67 53 37 18 47 69 85 67 54 37 18 39 69 85 67 55 37 18 47 69 85 67 56 37 18 41 69 85 67 57 37 18 44 69 85 67 58 37 18 47 69 85 67 59 37 18 47 69 85 67 60 37 18 42 69 85 67 61 37 18 47 69 85 67 62 37 18 39 69 85 67 63 37 18 47 69 85 67 64 37 18 43 69 85 67 65 37 18 47 69 85 67 66 37 18 40 69 85 67 67 37 18 45 69 85 67 68 37 18 42 69 85 67 69 37 18 40 69 85 67 70 37 18 47 69 85 67 71 37 18 47 69 85 67 72 37 18 39 69 85 67 73 37 18 47 69 85 67 74 37 18 41 69 85 67 75 37 18 43 69 85 67 76 37 18 43 69 85 67 77 37 18 46 69 85 67 78 37 18 42 69 85 67 79 37 18 42 69 85 67 80 37 18 39 69 85 67 81 37 18 42 69 85 67 82 37 18 46 69 85 67 83 37 18 47 69 85 67 84 37 18 39 69 85 67 85 37 18 39 69 85 67 86 37 18 42 69 85 67 87 37 18 43 69 85 67 88 37 18 45 69 85 67 89 37 18 45 69 85 67 90 37 18 45 69 85 66 91 37 18 39 69 85 66 92 37 18 41 69 85 66 93 37 18 39 69 85 66 94 37 18 42 69 85 67 95 37 18 40 69 85 67 96 37 18 39 69 85 67 97 37 18 46 69 85 66 98 37 18 39 69 85 67 99 37 18 41 69 85 66 100 37 18 42 69 85 66 101 37 18 39 69 85 66 102 37 18 45 69 85 66 103 37 18 41 69 85 66 104 37 18 46 69 85 66 105 37 18 39 69 85 66 106 37 18 46 69 85 66 107 37 18 44 69 85 66 108 37 18 45 69 85 66 109 37 18 47 69 85 66 110 37 18 45 69 85 66 111 37 18 40 69 85 66 112 37 18 43 69 85 66 113 37 18 47 69 85 66 114 37 18 45 69 85 66 115 37 18 47 69 85 66 116 37 18 42 69 84 66 117 37 18 42 69 84 66 118 37 18 43 69 84 66 119 37 18 43 69 84 66 120 37 18 40 69 84 66 121 37 18 39 69 84 66 122 37 18 39 69 84 66 123 37 18 39 69 84 66 124 37 18 47 69 84 66 125 37 18 42 69 84 66 126 37 18 47 69 84 66 127 37 18 42 69 84 66 128 37 18 46 69 84 66 129 37 18 39 69 84 66 130 37 18 42 69 84 66 131 37 18 40 69 84 66 132 37 18 39 69 84 66 133 37 18 45 69 84 66 
134 37 18 47 69 84 66 
135 37 18 39 69 84 66 
136 37 18 47 69 84 66 
137 37 18 47 69 84 66 
138 37 18 47 69 84 66 
139 37 18 40 69 84 66 
140 37 18 40 69 84 66 
141 37 18 45 69 84 66 
142 37 18 48 69 84 66 
143 37 18 39 69 84 66 
144 37 18 41 69 84 66 
145 37 18 43 69 83 66
