LoRa Sender
The values inside the EEPROM are : 
18 39 70 88 67 87 67 
1 37 18 41 74 98 67 
2 37 18 45 74 87 67 
3 37 18 39 74 87 67 
4 37 18 40 74 87 67 
5 37 18 37 74 87 67 
6 37 18 36 73 87 67 7 37 18 40 73 87 67 8 37 18 41 73 87 67 9 37 18 38 73 88 67 10 37 18 40 73 88 67 11 37 18 36 73 87 68 12 37 18 40 73 88 67 13 37 18 41 73 87 67 14 37 18 45 73 88 67 15 37 18 41 73 88 67 16 37 18 37 73 87 68 17 37 18 37 73 88 68 18 37 18 45 73 88 68 19 37 18 45 72 88 68 20 37 18 36 72 88 68 21 37 18 36 72 88 68 22 37 18 38 72 88 68 23 37 18 36 72 88 68 24 37 18 36 72 88 68 25 37 18 39 72 88 68 26 37 18 44 72 88 68 27 37 18 36 72 88 68 28 37 18 42 72 88 68 29 37 18 37 72 87 68 30 37 18 45 72 87 68 31 37 18 37 72 87 68 32 37 18 37 72 87 68 33 37 18 45 72 87 68 34 37 18 37 72 87 68 35 37 18 41 72 135 68 36 37 18 45 72 140 68 37 37 18 45 72 89 68 38 37 18 43 72 90 68 39 37 18 44 72 88 68 40 37 18 36 71 89 68 41 37 18 40 71 88 68 42 37 18 41 71 88 68 43 37 18 44 71 88 68 44 37 18 41 71 88 68 45 37 18 45 71 88 68 46 37 18 37 71 88 68 47 37 18 37 71 88 68 48 37 18 45 71 88 68 49 37 18 36 71 88 68 50 37 18 39 71 88 68 51 37 18 42 71 88 68 52 37 18 39 71 88 68 53 37 18 37 71 88 68 54 37 18 41 71 88 68 55 37 18 41 71 88 68 56 37 18 40 71 88 68 57 37 18 37 71 88 68 58 37 18 45 71 88 68 59 37 18 44 71 88 68 60 37 18 43 71 88 68 61 37 18 45 71 88 68 62 37 18 45 71 88 68 63 37 18 43 71 88 68 64 37 18 43 71 88 68 65 37 18 39 71 88 68 66 37 18 44 71 88 68 67 37 18 36 71 88 68 68 37 18 36 71 88 68 69 37 18 45 71 88 68 70 37 18 37 71 88 68 71 37 18 42 71 88 68 72 37 18 42 71 88 67 73 37 18 45 71 88 67 74 37 18 44 71 88 68 75 37 18 44 71 88 67 76 37 18 37 71 88 67 77 37 18 45 71 88 67 78 37 18 41 71 88 68 79 37 18 45 71 88 68 80 37 18 38 71 88 68 81 37 18 37 71 88 68 82 37 18 37 71 88 68 83 37 18 45 71 88 68 84 37 18 45 71 88 68 85 37 18 37 71 88 67 86 37 18 38 71 88 68 87 37 18 37 71 88 67 88 37 18 39 71 88 68 89 37 18 44 71 88 67 90 37 18 44 71 88 68 91 37 18 37 71 88 67 92 37 18 44 71 88 67 93 37 18 45 71 88 67 94 37 18 41 71 88 67 95 37 18 39 71 88 67 96 37 18 37 71 88 67 97 37 18 42 71 88 67 98 37 18 37 71 88 67 99 37 18 36 71 88 67 100 37 18 37 71 88 67 101 37 18 45 71 88 67 102 37 18 38 71 88 67 103 37 18 39 71 88 67 104 37 18 40 71 88 67 105 37 18 44 71 88 67 106 37 18 37 71 88 67 107 37 18 45 71 88 67 108 37 18 37 71 88 67 109 37 18 45 71 88 67 110 37 18 42 71 88 67 111 37 18 40 71 88 67 112 37 18 45 71 88 67 113 37 18 41 71 88 67 114 37 18 44 71 88 67 115 37 18 45 71 88 67 116 37 18 45 70 88 67 117 37 18 41 71 88 67 118 37 18 40 70 88 67 119 37 18 39 70 88 67 120 37 18 37 70 88 67 121 37 18 42 70 88 67 122 37 18 42 70 88 67 123 37 18 37 70 88 67 124 37 18 45 70 88 67 125 37 18 44 70 88 67 126 37 18 45 70 88 67 127 37 18 43 70 88 67 128 37 18 45 70 88 67 129 37 18 43 70 88 67 130 37 18 45 70 88 67 131 37 18 41 70 88 67 132 37 18 37 70 88 67 133 37 18 39 70 88 67 134 37 18 37 70 88 67 135 37 18 45 70 88 67 136 37 18 45 70 88 67 137 37 18 41 70 88 67 138 37 18 37 70 88 67 139 37 18 45 70 88 67 140 37 18 42 70 88 67 141 37 18 43 70 88 67 142 37 18 41 70 88 67 
143 37 18 42 70 88 67 
144 37 18 38 70 88 67 
145 37 18 45 70 88 67 
