LoRa Sender
The values inside the EEPROM are : 
21 35 55 86 49 85 48 
1 29 19 38 56 85 48 
2 29 19 34 56 85 48 
3 29 20 41 56 85 48 
4 29 20 35 56 85 48 
5 29 20 36 56 85 48 
6 29 20 34 56 85 48 
7 29 20 33 56 85 48 
8 28 21 38 56 85 48 
9 28 21 38 56 85 48 
10 28 21 35 56 85 48 
11 28 21 40 56 85 48 
12 28 21 41 56 85 48 13 28 21 39 56 85 48 14 28 21 34 56 85 48 15 28 21 39 56 85 48 16 28 21 42 56 85 48 17 28 21 40 56 85 48 18 28 21 41 56 85 48 19 28 21 41 56 85 48 20 28 21 35 56 85 48 21 28 21 37 56 86 48 22 28 21 37 56 86 48 23 28 21 38 56 86 48 24 28 21 38 56 86 48 25 28 21 35 56 86 48 26 28 21 41 56 86 48 27 28 21 39 56 86 48 28 28 21 39 56 87 48 29 28 21 35 55 85 48 30 28 21 41 55 85 48 31 28 21 37 55 85 48 32 28 21 41 55 85 48 33 28 21 39 55 85 49 34 28 21 38 55 85 49 35 28 21 40 55 85 48 36 28 21 39 55 85 49 37 28 21 37 55 85 49 38 28 21 41 55 85 49 39 28 21 34 55 85 48 40 28 21 37 55 85 49 41 28 21 41 55 85 49 42 28 21 33 55 85 49 43 28 21 37 55 85 49 44 28 21 36 55 85 49 45 28 21 41 55 85 49 46 28 21 38 55 85 49 47 28 21 40 55 85 49 48 28 21 33 55 85 49 49 28 21 35 55 85 49 50 28 21 43 55 85 49 51 28 21 34 55 85 49 52 28 21 36 55 86 49 53 28 21 34 55 85 49 54 28 21 33 55 86 49 55 28 21 40 55 96 49 56 28 21 34 55 99 49 57 28 21 33 55 99 49 58 28 21 40 55 99 49 59 28 21 35 55 98 49 60 28 21 33 55 98 49 61 28 21 33 55 109 49 62 28 21 32 55 85 49 63 28 21 42 55 85 49 64 28 21 33 55 85 49 65 28 21 38 55 85 49 66 28 21 34 55 86 49 67 28 21 39 55 86 49 68 28 21 33 55 86 49 69 28 21 39 55 86 49 70 28 21 40 55 86 49 71 28 21 36 55 85 49 72 28 21 32 55 85 49 73 28 21 40 55 85 49 74 28 21 43 55 85 49 75 28 21 32 55 86 49 76 28 21 33 55 86 49 77 28 21 41 55 86 49 78 28 21 34 55 86 49 79 28 21 39 55 86 49 80 28 21 35 55 85 49 81 28 21 32 55 85 49 82 28 21 40 55 85 49 83 28 21 42 55 85 49 84 28 21 38 55 86 49 85 28 21 39 55 87 49 86 28 21 40 55 88 49 87 28 21 37 55 87 49 88 28 21 33 55 85 49 89 28 21 33 55 86 49 90 28 21 40 55 87 49 91 28 21 33 55 87 49 92 28 21 33 55 87 49 93 28 21 39 55 86 49 94 28 21 35 55 86 49 95 28 21 33 55 87 49 96 28 21 34 55 87 49 97 28 21 42 55 87 49 98 28 21 35 55 86 49 
99 28 21 40 55 86 49 
100 28 21 44 55 85 49 
101 28 21 37 55 85 49 
102 28 21 32 55 85 49 
103 28 21 35 55 85 49 
104 28 21 37 55 85 49 
105 28 21 35 55 85 49 
106 28 21 40 55 85 49 
107 28 21 40 55 85 49 
108 28 21 35 55 85 49 
109 28 21 32 55 85 49 
110 27 21 39 55 86 49 
111 27 21 40 55 86 49 
112 28 21 36 55 86 49 
113 27 21 42 55 85 49 
114 27 21 35 55 85 49 
115 27 21 39 55 86 49 
116 27 21 34 55 86 49 
117 27 21 40 55 86 49 
118 27 21 42 55 86 49 
119 27 21 36 55 86 49 
120 27 21 32 55 86 49 
121 27 21 41 55 86 49 
122 27 21 34 55 85 49 
123 27 21 38 55 86 49 
124 27 21 39 55 86 49 
125 27 21 34 55 86 49 
126 27 21 41 55 86 49 
127 27 21 40 55 85 49 
128 27 21 38 55 86 49 
129 27 21 40 55 86 49 
130 27 21 35 55 86 49 
131 27 21 38 55 86 49 
132 27 21 35 55 86 49 
133 27 21 33 55 86 49 
134 27 21 33 55 86 49 
135 27 21 40 55 86 49 
136 27 21 40 55 86 49 
137 27 21 38 55 86 49 
138 27 21 36 55 86 49 
139 27 21 33 56 86 49 
140 27 21 39 55 86 49 
141 27 21 35 55 86 49 
142 27 21 33 55 86 49 
143 27 21 35 55 86 49 
144 27 21 32 55 86 49 
145 27 21 34 55 86 49 
