LoRa Sender
The values inside the EEPROM are : 
22 34 51 192 66 203 66 
1 31 21 30 52 202 66 
2 31 21 46 52 202 66 
3 31 21 37 52 202 66 
4 31 21 27 52 202 66 
5 31 21 30 52 203 66 
6 31 21 34 52 203 66 
7 31 21 27 51 203 66 8 31 21 44 51 203 66 9 31 21 28 51 203 66 10 31 21 45 51 203 66 11 31 21 31 51 203 66 12 30 22 44 51 203 66 13 30 22 27 51 202 66 14 30 22 30 51 202 66 15 30 22 28 51 202 66 16 30 22 30 51 202 66 17 30 22 36 51 202 66 18 30 22 32 51 201 66 19 30 22 27 51 201 66 20 30 22 39 51 200 66 21 30 22 27 51 201 66 22 30 22 30 51 200 66 23 30 22 27 51 200 66 24 30 22 27 51 200 66 25 30 22 35 51 200 66 26 30 22 35 51 200 66 27 30 22 27 51 199 66 28 30 22 38 51 200 66 29 30 22 32 51 200 66 30 30 22 37 51 201 66 31 30 22 33 51 200 66 32 30 22 29 51 200 66 33 30 22 30 51 201 66 34 30 22 47 51 200 66 35 30 22 28 51 200 66 36 30 22 29 51 201 66 37 30 22 32 51 201 66 38 30 22 27 51 201 66 39 30 22 29 51 200 66 40 30 22 27 51 201 66 41 30 22 29 51 200 66 42 30 22 44 51 200 66 43 30 22 37 51 200 66 44 30 22 32 51 200 66 45 30 22 27 51 200 66 46 30 22 34 51 200 66 47 30 22 47 51 199 66 48 30 22 37 51 198 66 49 30 22 27 51 199 66 50 30 22 37 51 199 66 51 30 22 31 51 199 66 52 30 22 28 51 198 66 53 30 22 28 51 198 66 54 30 22 29 51 197 66 55 30 22 39 51 198 66 56 30 22 32 51 198 66 57 30 22 39 51 198 66 58 30 22 29 51 197 66 59 30 22 27 51 197 66 60 30 22 41 51 198 66 61 30 22 36 51 197 66 62 30 22 27 51 198 66 63 30 22 33 51 197 66 64 30 22 44 51 197 66 65 30 22 44 51 196 66 66 30 22 33 51 195 66 67 30 22 36 51 198 66 68 30 22 28 51 197 66 69 30 22 27 51 197 66 70 30 22 33 51 197 66 71 30 22 27 51 194 66 72 30 22 46 51 194 66 73 30 22 39 51 195 66 74 30 22 27 51 196 66 75 30 22 29 51 196 66 76 30 22 29 51 197 66 77 30 22 34 51 197 66 78 30 22 30 51 196 66 79 30 22 31 51 196 66 80 30 22 27 51 197 66 81 30 22 28 51 198 66 82 30 22 35 51 199 66 83 30 22 27 51 198 66 84 30 22 45 51 198 66 85 30 22 27 51 199 66 86 30 22 36 51 199 66 87 30 22 32 51 199 66 88 30 22 48 51 199 66 89 30 22 33 51 199 66 90 30 22 32 51 199 66 91 30 22 27 51 198 66 92 30 22 28 51 198 66 93 30 22 34 51 198 66 94 30 22 35 51 199 66 95 30 22 35 51 198 66 96 30 22 28 51 198 66 97 30 22 33 51 198 66 98 30 22 36 51 198 66 99 30 22 28 51 199 66 100 30 22 35 51 199 66 101 30 22 28 51 199 66 102 30 22 45 51 198 66 103 30 22 29 51 198 66 104 30 22 48 51 199 66 105 30 22 46 51 199 66 106 30 22 29 51 198 66 107 30 22 27 51 198 66 108 30 22 30 51 198 66 109 30 22 28 51 198 66 110 30 22 30 51 197 66 111 30 22 31 51 197 66 112 30 22 29 51 197 66 113 30 22 37 51 197 66 114 30 22 31 51 197 66 115 30 22 32 51 195 66 116 30 22 31 51 195 66 117 30 22 43 51 195 66 118 30 22 27 51 195 66 119 30 22 32 51 194 66 120 30 22 34 51 193 66 121 30 22 28 51 191 66 122 30 22 29 51 191 66 123 30 22 27 51 190 66 124 30 22 46 51 190 66 125 30 22 26 51 189 66 126 30 22 27 51 189 66 127 30 22 28 51 191 66 128 30 22 28 51 191 66 129 30 22 41 51 190 66 130 30 22 27 51 190 66 131 30 22 41 51 191 66 132 30 22 26 51 190 66 133 30 22 35 51 191 66 134 30 22 29 51 190 66 135 30 22 34 51 190 66 136 30 22 27 51 190 66 137 30 22 31 51 190 66 138 30 22 48 51 190 66 139 30 22 41 51 190 66 
140 30 22 27 51 191 66 
141 30 22 30 51 191 66 
142 30 22 32 51 191 66 
143 30 22 32 51 191 66 
144 30 22 28 51 191 66 
145 30 22 38 51 191 66 
