LoRa Sender
The values inside the EEPROM are : 
14 44 48 203 53 202 44 
1 33 14 46 57 202 45 
2 33 15 50 58 202 45 
3 33 15 50 56 202 45 
4 33 15 50 57 202 46 
5 33 15 46 56 202 46 
6 33 15 50 56 202 46 
7 33 15 50 57 202 46 
8 33 15 49 56 202 47 
9 33 15 46 55 202 47 
10 33 15 50 56 203 47 
11 33 15 50 55 203 47 
12 33 15 46 55 203 48 
13 33 15 50 54 203 48 
14 33 15 50 54 202 48 
15 33 15 45 54 202 48 
16 33 15 50 54 203 48 
17 33 15 45 55 203 48 
18 33 15 48 54 202 48 
19 33 14 45 55 203 49 
20 33 15 46 55 203 48 
21 33 14 48 54 203 49 
22 33 14 46 54 203 49 23 33 14 45 53 202 49 24 33 14 50 54 203 49 25 33 14 45 54 203 49 26 33 14 46 53 203 49 27 33 14 45 54 203 50 28 33 14 45 53 202 49 29 33 14 50 52 203 50 30 33 14 50 54 203 50 31 33 14 45 52 203 50 32 33 14 50 52 202 50 33 33 14 49 53 203 50 34 33 14 47 52 203 50 35 33 14 48 53 203 50 36 33 14 47 53 202 50 37 33 14 47 51 202 50 38 33 14 47 53 203 50 39 33 14 49 52 203 51 40 33 14 45 51 202 51 41 33 14 48 53 203 51 42 33 14 49 51 202 51 43 33 14 48 51 203 51 44 33 14 49 52 203 51 45 33 14 44 51 203 51 46 33 14 47 52 202 51 47 33 14 49 52 203 51 48 33 14 45 50 203 51 49 33 14 45 52 203 51 50 33 14 49 52 203 51 51 33 14 49 50 202 51 52 33 14 46 52 203 51 53 33 14 44 50 202 51 54 33 14 48 51 203 51 55 33 14 48 51 203 51 56 33 14 49 50 202 52 57 33 14 49 51 203 52 58 33 14 44 51 203 52 59 33 14 44 50 203 52 60 33 14 45 51 203 52 61 33 14 49 49 203 52 62 33 14 44 50 203 52 63 33 14 49 51 203 52 64 33 14 46 51 203 52 65 33 14 47 50 203 52 
66 33 14 44 51 203 52 
67 33 14 49 50 203 52 
68 33 14 48 50 203 52 
69 33 14 45 51 203 52 
70 33 14 45 49 203 52 
71 33 14 49 50 203 52 72 33 14 49 51 203 52 73 33 14 47 49 203 52 74 33 14 49 51 203 52 75 33 14 47 51 203 52 76 33 14 49 49 203 52 77 33 14 44 51 203 52 78 33 14 45 49 203 52 79 33 14 49 49 203 52 80 33 14 44 51 203 52 81 33 14 49 49 203 52 82 33 14 46 50 203 52 83 33 14 49 51 203 52 84 33 14 45 49 203 52 85 33 14 49 50 203 52 86 33 14 44 51 203 52 87 33 14 47 49 203 52 88 33 14 49 50 203 52 89 33 14 49 51 203 52 90 33 14 44 49 203 52 91 33 14 45 50 203 52 92 33 14 47 50 203 53 93 33 14 44 50 203 52 94 33 14 45 51 203 53 95 33 14 49 49 203 52 96 33 14 44 49 203 53 97 33 14 46 50 203 52 98 33 14 49 49 203 52 99 33 14 49 49 203 52 100 33 14 44 50 203 53 101 33 14 49 49 203 52 102 33 14 45 49 203 53 103 33 14 49 50 203 53 104 33 14 45 50 203 53 105 33 14 45 49 203 53 106 33 14 43 50 203 53 107 33 14 44 50 203 53 108 33 14 46 48 203 53 109 33 14 45 49 203 53 110 33 14 47 50 203 53 111 33 14 45 48 203 53 112 33 14 47 48 203 53 113 33 14 44 50 203 53 114 33 14 45 50 203 53 115 33 14 49 48 203 53 116 33 14 49 48 203 53 117 33 14 49 49 203 53 118 33 14 48 50 203 53 119 33 14 44 48 203 53 120 33 14 47 49 203 53 121 33 14 49 50 203 53 122 33 14 45 50 203 53 123 33 14 44 48 203 53 124 33 14 44 49 203 53 125 33 14 49 49 203 54 126 33 14 47 48 203 53 127 33 14 47 48 203 54 128 33 14 43 49 203 53 129 33 14 49 47 203 54 130 33 14 49 48 203 54 131 33 14 49 48 203 53 132 33 14 47 50 203 54 133 33 14 49 49 203 53 134 33 14 49 48 203 54 135 33 14 45 49 203 54 136 33 14 45 50 203 54 137 33 14 49 50 203 53 
138 33 14 47 48 203 54 
139 33 14 47 49 203 54 
140 33 14 45 49 203 54 
141 33 14 45 49 203 53 
142 33 14 49 48 203 53 
143 33 14 49 48 203 53 
144 33 14 49 49 203 54 
145 33 14 45 48 203 53 
