LoRa Receiver
The values inside the EEPROM are : 
44 1 104 1 5 
147 146 44 1 105 1 5 
148 146 44 1 96 1 7 
149 146 44 1 104 1 5 
150 146 44 1 105 1 5 
151 146 44 1 96 1 6 
152 146 44 1 104 1 5 
153 146 44 1 104 1 6 
154 146 44 1 104 1 5 
155 146 44 1 104 1 6 
156 146 44 1 104 1 5 
157 146 44 1 104 1 5 
158 146 44 1 104 1 5 
159 146 44 1 104 1 5 
160 146 44 1 104 1 5 
161 146 44 1 104 1 5 
162 146 44 1 104 1 5 
163 146 44 1 104 1 6 
164 146 44 1 104 1 5 
165 146 44 1 104 1 5 
166 146 44 1 104 1 5 
167 146 45 1 104 1 5 
168 146 45 1 104 1 5 
169 146 45 1 104 1 5 
170 146 45 1 104 1 5 
171 146 45 1 104 1 5 
172 146 45 1 104 1 6 
173 146 45 1 104 1 5 
174 146 45 1 104 1 5 
175 146 45 1 104 1 4 
176 146 45 1 104 1 5 
177 146 45 1 104 1 5 
178 146 45 1 98 0 3 
179 146 45 1 99 0 3 

1 6 34 34 44 1 103 1 4 

35 35 44 1 104 1 6 
36 36 44 1 104 1 5 
37 37 44 1 104 1 5 
38 38 44 1 104 1 5 
39 39 44 1 104 1 6 
40 40 44 1 104 1 6 
41 41 44 1 104 1 5 
42 42 44 1 103 1 6 
43 43 44 1 95 1 7 
44 44 44 1 103 1 5 
45 45 44 1 104 1 6 
46 46 44 1 95 1 6 
47 47 44 1 104 1 6 
48 48 44 1 104 1 6 
49 49 44 1 104 1 5 
50 50 44 1 104 1 5 
51 51 44 1 104 1 5 
52 52 44 1 104 1 5 
53 53 44 1 104 1 6 
54 54 44 1 104 1 5 
55 55 44 1 104 1 5 
56 56 44 1 104 1 5 
57 57 44 1 104 1 6 
58 58 44 1 104 1 5 
59 60 44 1 104 1 5 
60 61 44 1 95 1 6 
61 62 44 1 104 1 5 
62 63 44 1 104 1 5 
63 64 44 1 103 1 5 
64 65 44 1 103 1 5 
65 66 44 1 104 1 5 
66 67 44 1 104 1 5 67 68 44 1 104 1 6 68 69 44 1 95 1 7 69 70 44 1 104 1 5 70 0 44 1 104 1 5 71 72 44 1 104 1 5 72 73 44 1 103 1 5 73 74 44 1 103 1 5 74 75 44 1 103 1 5 75 76 44 1 104 1 6 76 77 44 1 104 1 5 77 78 44 1 104 1 5 78 79 44 1 104 1 5 79 80 44 1 104 1 5 80 81 44 1 104 1 5 81 82 44 1 104 1 5 82 83 44 1 104 1 5 83 84 44 1 104 1 5 84 85 44 1 104 1 5 85 86 44 1 104 1 5 86 87 44 1 104 1 5 87 88 44 1 104 1 6 88 89 44 1 104 1 6 89 90 44 1 104 1 5 90 91 44 1 103 1 5 91 92 44 1 103 1 6 92 93 44 1 104 1 6 93 94 44 1 104 1 5 94 95 44 1 104 1 6 95 96 44 1 103 1 6 96 97 44 1 103 1 5 97 98 44 1 103 1 6 98 99 44 1 104 1 5 99 100 44 1 95 1 7 100 101 44 1 104 1 5 101 102 44 1 104 1 5 102 103 44 1 104 1 5 103 104 44 1 104 1 5 104 105 44 1 104 1 5 105 106 44 1 104 1 5 106 107 44 1 104 1 5 107 108 44 1 104 1 6 108 109 44 1 104 1 5 109 110 44 1 104 1 5 110 111 44 1 104 1 5 111 112 44 1 95 1 6 112 113 44 1 104 1 6 113 114 44 1 104 1 5 114 115 44 1 104 1 5 115 116 44 1 104 1 5 116 117 44 1 104 1 5 117 118 44 1 96 1 6 118 119 44 1 95 1 6 119 120 44 1 104 1 5 120 121 44 1 95 1 7 121 122 44 1 104 1 5 122 123 44 1 105 1 5 123 124 44 1 104 1 5 124 125 44 1 96 1 6 125 126 44 1 96 1 6 126 127 44 1 104 1 5 127 128 44 1 104 1 5 128 129 44 1 104 1 5 129 130 44 1 104 1 5 130 131 44 1 104 1 5 131 132 44 1 104 1 5 132 133 44 1 105 1 5 133 134 44 1 104 1 5 134 136 44 1 96 1 6 135 137 44 1 96 1 6 136 138 44 1 104 1 6 
137 139 44 1 104 1 5 
138 140 44 1 104 1 6 
139 141 44 1 104 1 5 
140 142 44 1 104 1 5 
141 144 44 1 104 1 5 
142 145 44 1 104 1 5 
143 146 44 1 104 1 5 
144 146 44 1 104 1 5 
145 146 44 1 105 1 5 
146 146  
