LoRa Sender
The values inside the EEPROM are : 
22 42 55 87 69 86 66 
1 32 19 29 60 86 66 
2 32 21 41 59 86 66 
3 31 21 39 60 86 66 
4 31 21 30 59 87 66 
5 31 21 37 59 87 67 
6 31 21 32 59 87 67 
7 31 21 31 58 87 67 
8 31 21 29 59 87 67 
9 31 21 32 59 87 67 10 31 21 34 59 87 67 11 31 21 29 59 87 67 12 31 21 38 58 87 67 13 31 21 43 58 87 68 14 31 21 32 58 87 68 15 31 21 38 57 87 68 16 31 21 36 57 87 68 17 31 21 36 58 87 68 18 31 21 38 57 87 68 19 31 21 38 57 87 68 20 31 21 35 57 87 68 21 31 21 36 57 87 68 22 31 21 32 57 87 68 23 31 21 30 57 87 68 24 31 21 28 57 87 68 25 31 21 31 57 87 68 26 31 21 31 57 87 68 27 31 21 34 57 87 68 28 31 21 48 57 87 68 29 31 21 30 57 87 68 30 31 21 30 57 87 68 31 31 21 28 57 87 68 32 31 21 42 58 87 68 33 30 22 38 57 87 68 34 30 22 48 57 87 68 35 30 22 30 57 88 68 36 30 22 33 56 87 69 37 30 22 38 57 88 69 38 30 22 34 57 88 69 39 30 22 29 56 87 69 40 30 22 29 57 90 69 41 30 22 48 57 88 69 42 30 22 37 57 88 69 43 30 22 30 57 89 69 44 30 22 29 57 88 69 45 30 22 33 57 88 69 46 30 22 30 56 87 69 47 30 22 29 57 87 69 48 30 22 38 57 88 69 49 30 22 29 56 87 68 50 30 22 39 57 87 68 51 30 22 28 57 88 69 52 30 22 34 56 92 69 53 30 22 37 57 88 69 54 30 22 31 56 87 69 55 30 22 31 57 87 69 56 30 22 49 56 87 69 57 30 22 28 56 87 69 58 30 22 30 56 87 69 59 30 22 28 56 87 69 60 30 22 39 56 87 69 61 30 22 35 57 87 69 62 30 22 42 56 87 69 63 30 22 42 56 87 69 64 30 22 29 56 87 69 65 30 22 28 57 87 69 66 30 22 29 56 87 69 67 30 22 28 56 87 69 68 30 22 36 56 87 69 69 30 22 37 56 87 69 70 30 22 28 57 87 69 71 30 22 30 56 87 69 72 30 22 28 56 87 69 73 30 22 40 56 87 70 74 30 22 49 55 87 69 75 30 22 28 56 87 69 76 30 22 28 56 87 69 77 30 22 45 55 87 69 78 30 22 30 56 87 69 79 30 22 39 57 87 69 80 30 22 47 57 87 69 81 30 22 42 56 87 69 82 30 22 28 56 87 69 83 30 22 42 56 87 69 84 30 22 31 56 87 70 85 30 22 29 56 87 70 86 30 22 32 55 87 70 87 30 22 44 55 87 69 88 30 22 30 56 87 69 89 30 22 30 55 87 69 90 30 22 32 56 87 69 91 30 22 31 56 87 69 92 30 22 29 56 87 69 93 30 22 29 56 87 69 94 30 22 31 56 87 69 95 30 22 27 55 87 69 96 30 22 37 55 87 69 97 30 22 39 55 87 70 98 30 22 40 56 87 70 99 30 22 33 54 87 70 100 30 22 29 56 87 70 101 30 22 46 55 87 69 102 29 22 39 56 87 69 103 29 22 29 55 87 69 104 29 22 48 55 87 69 105 29 22 27 55 87 69 106 29 22 35 55 87 69 107 29 22 49 55 87 69 108 29 22 36 55 87 70 109 29 22 32 54 87 70 110 29 22 29 54 87 70 111 29 22 27 54 87 70 112 29 22 31 56 87 70 113 29 22 41 56 87 69 114 29 22 44 55 87 69 115 29 22 41 55 87 69 116 29 22 36 55 87 69 117 29 22 27 55 87 69 118 29 22 33 56 87 69 119 29 22 31 55 87 69 120 29 22 41 55 87 69 121 29 22 27 55 87 69 122 29 22 28 54 87 69 123 29 22 35 55 87 70 124 29 22 32 54 87 70 125 29 22 42 54 87 70 126 29 22 35 55 87 70 127 29 22 35 55 87 69 128 29 22 27 55 87 69 129 29 22 39 55 87 69 130 29 22 35 55 87 69 131 29 22 31 56 87 69 132 29 22 40 55 87 69 133 29 22 27 54 87 70 134 29 22 27 54 87 70 135 29 22 50 56 87 70 136 29 22 32 55 87 70 
137 29 22 32 55 87 69 
138 29 22 35 56 87 69 
139 29 22 45 55 87 69 
140 29 22 32 55 87 69 
141 29 22 32 56 87 69 
142 29 22 39 55 87 69 
143 29 22 40 56 87 69 
144 29 22 33 56 87 69 
145 29 22 36 54 87 69
